,Client: Create Date/Time,Client's City,Client's Zip,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
0,02/02/2016 14:42:03.8354 MST,ALBANY,12209,ALBANY,Albany,,,,42.6525793,-73.7562317
1,01/22/2016 13:56:15.527774 MST,ALBANY,12203,ALBANY,Albany,PH-3300.2750,P,PH,42.6525793,-73.7562317
2,01/22/2016 15:10:16.867589 MST,ALBANY,12204,ALBANY,Albany,,,,42.6525793,-73.7562317
3,02/02/2016 09:10:58.393354 MST,ALBANY,12206,ALBANY,Albany,,,,42.6525793,-73.7562317
4,02/02/2016 09:20:15.516327 MST,ALBANY,12202,ALBANY,Albany,,,,42.6525793,-73.7562317
5,02/01/2016 09:16:43.444302 MST,ALBANY,12209,ALBANY,Albany,,,,42.6525793,-73.7562317
6,02/01/2016 09:26:30.00063 MST,ALBANY,12204,ALBANY,Albany,,,,42.6525793,-73.7562317
7,02/03/2016 08:26:31.66334 MST,COHOES,12047,ALBANY,Albany,TI-1800.3000-080,T,TI,42.6525793,-73.7562317
8,02/03/2016 08:26:31.66334 MST,COHOES,12047,ALBANY,Albany,TI-1800.3000-080,T,TI,42.6525793,-73.7562317
9,02/03/2016 08:26:31.66334 MST,COHOES,12047,ALBANY,Albany,TI-1800.3000-080,T,TI,42.6525793,-73.7562317
10,02/01/2016 10:57:18.539842 MST,ALBANY,12203,ALBANY,Albany,,,,42.6525793,-73.7562317
11,01/26/2016 08:22:54.473198 MST,COHOES,12047,ALBANY,Albany,DT-8800,D,DT,42.6525793,-73.7562317
12,02/03/2016 08:44:27.753921 MST,ALBANY,12209,ALBANY,Albany,,,,42.6525793,-73.7562317
13,02/01/2016 12:02:37.311546 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.6525793,-73.7562317
14,02/01/2016 12:59:40.745076 MST,ALBANY,12204,ALBANY,Albany,,,,42.6525793,-73.7562317
15,01/27/2016 07:18:29.807363 MST,ALBANY,12210,ALBANY,Albany,DT-8800,D,DT,42.6525793,-73.7562317
16,01/27/2016 09:14:12.551076 MST,ALBANY,12205,ALBANY,Albany,,,,42.6525793,-73.7562317
17,02/02/2016 12:17:20.825966 MST,GLENMONT,12077,ALBANY,Albany,,,,42.6525793,-73.7562317
18,02/01/2016 15:44:34.21481 MST,ALBANY,12208,ALBANY,Albany,,,,42.6525793,-73.7562317
19,01/21/2016 07:59:44.608725 MST,ALBANY,12206,ALBANY,Albany,,,,42.6525793,-73.7562317
20,01/21/2016 08:13:24.691761 MST,GUILDERLAND,12084,ALBANY,Albany,DT-8800,D,DT,42.6525793,-73.7562317
21,02/02/2016 13:35:06.176265 MST,ALBANY,12210,ALBANY,Albany,,,,42.6525793,-73.7562317
22,02/02/2016 13:49:42.701932 MST,ALBANY,12210,ALBANY,Albany,,,,42.6525793,-73.7562317
23,06/21/2016 11:18:52.416077 MDT,ALBANY,12210,ALBANY,Albany,FT-4500.4600,F,FT,42.6525793,-73.7562317
24,06/21/2016 11:18:52.416077 MDT,ALBANY,12210,ALBANY,Albany,FT-4500.4600,F,FT,42.6525793,-73.7562317
25,02/04/2016 10:52:16.461203 MST,GUILDERLAND,12084,ALBANY,Albany,,,,42.6525793,-73.7562317
26,02/04/2016 12:23:27.546231 MST,TROY,12183,ALBANY,Albany,NL-6000.2000,N,NL,42.6525793,-73.7562317
27,02/04/2016 12:33:25.268375 MST,ALBANY,12210,ALBANY,Albany,,,,42.6525793,-73.7562317
28,02/03/2016 13:27:17.692393 MST,ALBANY,12203,ALBANY,Albany,,,,42.6525793,-73.7562317
29,02/03/2016 14:18:54.219884 MST,ALBANY,12210,ALBANY,Albany,,,,42.6525793,-73.7562317
30,06/21/2016 09:54:07.57605 MDT,COHOES,12047,ALBANY,Albany,,,,42.6525793,-73.7562317
31,06/20/2016 15:31:31.267961 MDT,ALBANY,12210,ALBANY,Albany,,,,42.6525793,-73.7562317
32,06/20/2016 15:31:31.267961 MDT,ALBANY,12210,ALBANY,Albany,,,,42.6525793,-73.7562317
33,02/04/2016 07:23:49.749438 MST,DELMAR,12054,ALBANY,Albany,,,,42.6525793,-73.7562317
34,02/04/2016 07:23:49.749438 MST,DELMAR,12054,ALBANY,Albany,,,,42.6525793,-73.7562317
35,02/04/2016 07:07:02.686399 MST,ALBANY,12211,ALBANY,Albany,,,,42.6525793,-73.7562317
36,02/05/2016 10:10:52.600815 MST,ALBANY,12203,ALBANY,Albany,,,,42.6525793,-73.7562317
