County Name,State FIPS,County Code,County FIPS,ZIP Code
Suffolk,36,103,36103,501,
Suffolk,36,103,36103,544,
Suffolk,36,103,36103,6390,
New York,36,61,36061,10001,
New York,36,61,36061,10002,
New York,36,61,36061,10003,
New York,36,61,36061,10004,
New York,36,61,36061,10005,
New York,36,61,36061,10006,
New York,36,61,36061,10007,
New York,36,61,36061,10008,
New York,36,61,36061,10009,
New York,36,61,36061,10010,
New York,36,61,36061,10011,
New York,36,61,36061,10012,
New York,36,61,36061,10013,
New York,36,61,36061,10014,
New York,36,61,36061,10016,
New York,36,61,36061,10017,
New York,36,61,36061,10018,
New York,36,61,36061,10019,
New York,36,61,36061,10020,
New York,36,61,36061,10021,
New York,36,61,36061,10022,
New York,36,61,36061,10023,
New York,36,61,36061,10024,
New York,36,61,36061,10025,
New York,36,61,36061,10026,
New York,36,61,36061,10027,
New York,36,61,36061,10028,
New York,36,61,36061,10029,
New York,36,61,36061,10030,
New York,36,61,36061,10031,
New York,36,61,36061,10032,
New York,36,61,36061,10033,
New York,36,61,36061,10034,
New York,36,61,36061,10035,
New York,36,61,36061,10036,
New York,36,61,36061,10037,
New York,36,61,36061,10038,
New York,36,61,36061,10039,
New York,36,61,36061,10040,
New York,36,61,36061,10041,
New York,36,61,36061,10043,
New York,36,61,36061,10044,
New York,36,61,36061,10045,
New York,36,61,36061,10047,
New York,36,61,36061,10048,
New York,36,61,36061,10055,
New York,36,61,36061,10065,
New York,36,61,36061,10069,
New York,36,61,36061,10072,
New York,36,61,36061,10075,
New York,36,61,36061,10080,
New York,36,61,36061,10081,
New York,36,61,36061,10082,
New York,36,61,36061,10087,
New York,36,61,36061,10101,
New York,36,61,36061,10102,
New York,36,61,36061,10103,
New York,36,61,36061,10104,
New York,36,61,36061,10105,
New York,36,61,36061,10106,
New York,36,61,36061,10107,
New York,36,61,36061,10108,
New York,36,61,36061,10109,
New York,36,61,36061,10110,
New York,36,61,36061,10111,
New York,36,61,36061,10112,
New York,36,61,36061,10113,
New York,36,61,36061,10114,
New York,36,61,36061,10115,
New York,36,61,36061,10116,
New York,36,61,36061,10117,
New York,36,61,36061,10118,
New York,36,61,36061,10119,
New York,36,61,36061,10120,
New York,36,61,36061,10121,
New York,36,61,36061,10122,
New York,36,61,36061,10123,
New York,36,61,36061,10124,
New York,36,61,36061,10125,
New York,36,61,36061,10126,
New York,36,61,36061,10128,
New York,36,61,36061,10129,
New York,36,61,36061,10130,
New York,36,61,36061,10131,
New York,36,61,36061,10132,
New York,36,61,36061,10133,
New York,36,61,36061,10138,
New York,36,61,36061,10149,
New York,36,61,36061,10150,
New York,36,61,36061,10151,
New York,36,61,36061,10152,
New York,36,61,36061,10153,
New York,36,61,36061,10154,
New York,36,61,36061,10155,
New York,36,61,36061,10156,
New York,36,61,36061,10157,
New York,36,61,36061,10158,
New York,36,61,36061,10159,
New York,36,61,36061,10160,
New York,36,61,36061,10161,
New York,36,61,36061,10162,
New York,36,61,36061,10163,
New York,36,61,36061,10164,
New York,36,61,36061,10165,
New York,36,61,36061,10166,
New York,36,61,36061,10167,
New York,36,61,36061,10168,
New York,36,61,36061,10169,
New York,36,61,36061,10170,
New York,36,61,36061,10171,
New York,36,61,36061,10172,
New York,36,61,36061,10173,
New York,36,61,36061,10174,
New York,36,61,36061,10175,
