id,Geographic Area Name,total_population,total_white_population,pct-white,total_af_am_population,pct-af-am,total_am_ind_population,pct-am-ind,total_asian_population,pct-asian,total_nh_pi_population,pct-nh-pi,total_other_population,pct-other,total_multiple_races,pct-multiple_races,,total_percentage
0500000US36001,"Albany County, New York",309381,237074,76.63,36840,11.90764785,613,0.198137571,19602,6.335877122,325,0.105048468,4000,1.292904218,10322,3.336339336,,99.80
0500000US36005,"Bronx County, New York",1455444,296739,20.39,475704,32.68445918,9275,0.637262581,53593,3.682244044,63,0.004328576,567160,38.96817741,32327,2.22110916,,98.59
0500000US36007,"Broome County, New York",196567,169170,86.06,11374,5.786322221,335,0.170425351,8411,4.278948145,107,0.054434366,1745,0.887738023,5203,2.646934633,,99.89
0500000US36009,"Cattaraugus County, New York",77922,71494,91.75,1389,1.782551783,2286,2.933702934,791,1.015117682,0,0,507,0.650650651,1394,1.788968456,,99.92
0500000US36011,"Cayuga County, New York",78288,72240,92.27,3663,4.678877989,107,0.136674842,248,0.316779072,0,0,405,0.517320662,1587,2.027130595,,99.95
0500000US36013,"Chautauqua County, New York",130779,121646,93.02,3224,2.465227598,755,0.577309813,844,0.645363552,142,0.108580124,2033,1.554530926,1883,1.439833612,,99.81
0500000US36015,"Chemung County, New York",87071,76618,87.99,6638,7.623663447,180,0.206727843,927,1.06464839,28,0.032157664,630,0.72354745,2017,2.316500327,,99.96
0500000US36019,"Clinton County, New York",81251,74541,91.74,3815,4.695326827,49,0.06030695,1268,1.560596177,10,0.012307541,670,0.824605236,618,0.760606023,,99.66
0500000US36027,"Dutchess County, New York",295754,228378,77.22,31237,10.56181827,799,0.270156955,11505,3.890057277,259,0.08757278,14671,4.960541531,6899,2.332681891,,99.32
0500000US36029,"Erie County, New York",922578,718294,77.86,126063,13.66421051,4275,0.463375454,32105,3.479922565,285,0.030891697,23033,2.496591074,14868,1.611571054,,99.60
0500000US36045,"Jefferson County, New York",117635,101377,86.18,7831,6.657032346,546,0.464147575,2350,1.997704765,225,0.191269605,1123,0.954647851,3158,2.684575169,,99.13
0500000US36047,"Kings County, New York",2636735,1143422,43.37,861059,32.65625859,10021,0.380053361,319263,12.10827027,375,0.014222135,234735,8.902487357,51185,1.941226555,,99.37
0500000US36051,"Livingston County, New York",64717,60291,93.16,813,1.256238701,95,0.14679296,940,1.452477711,0,0,684,1.056909313,1888,2.917316934,,99.99
0500000US36053,"Madison County, New York",71849,68113,94.80,2015,2.804492756,21,0.029227964,489,0.680594024,0,0,89,0.123870896,1034,1.439129285,,99.88
0500000US36055,"Monroe County, New York",749600,570572,76.12,118054,15.74893276,3564,0.475453575,29177,3.892342583,99,0.013207044,10714,1.429295624,14727,1.964647812,,99.64
0500000US36059,"Nassau County, New York",1361350,934951,68.68,161031,11.82877291,2675,0.196496125,125694,9.233040732,116,0.008520953,96174,7.064604988,27562,2.024607926,,99.03
0500000US36061,"New York County, New York",1644518,927335,56.39,242485,14.74504992,5653,0.343748138,200997,12.22224384,695,0.042261623,194722,11.84067307,55667,3.385003995,,98.97
0500000US36063,"Niagara County, New York",212652,185129,87.06,15160,7.129018302,1485,0.698324022,2853,1.341628576,0,0,2134,1.003517484,5051,2.37524218,,99.60
0500000US36065,"Oneida County, New York",232500,197395,84.90,12862,5.532043011,593,0.255053763,9268,3.986236559,533,0.229247312,4705,2.023655914,5970,2.567741935,,99.50
