"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US36001","Albany County, New York","309612","*****","231896","2161","39413","2210","577","404","21130","1235","0","200","4337","2120","12259","2860","1283","884","10976","2774"
"0500000US36005","Bronx County, New York","1471160","*****","328383","13238","517433","10375","12908","3903","57247","2069","1570","1040","505698","14483","47921","5900","18033","3203","29888","4588"
"0500000US36007","Broome County, New York","193639","*****","165668","1107","11181","978","397","363","8895","900","90","113","1284","922","6124","1333","853","508","5271","1298"
"0500000US36009","Cattaraugus County, New York","77348","*****","71195","277","1099","309","2370","241","754","128","0","200","245","211","1685","402","130","174","1555","399"
"0500000US36011","Cayuga County, New York","77603","*****","70967","408","2879","776","7","13","410","300","0","200","561","268","2779","894","521","295","2258","879"
"0500000US36013","Chautauqua County, New York","129046","*****","118064","1288","3079","569","127","155","800","220","0","200","3769","1116","3207","899","422","570","2785","585"
"0500000US36015","Chemung County, New York","85557","*****","74963","526","6317","962","55","77","1677","200","0","200","698","466","1847","767","167","227","1680","737"
"0500000US36019","Clinton County, New York","80980","*****","73166","312","3749","230","204","91","1167","293","128","159","1415","321","1151","357","85","122","1066","341"
"0500000US36027","Dutchess County, New York","295568","*****","232355","3023","30371","2220","946","979","11881","678","48","71","10066","2652","9901","1663","2137","1195","7764","1675"
"0500000US36029","Erie County, New York","925528","*****","716718","2979","123182","3581","4812","1002","33896","1793","234","211","20568","2955","26118","3993","4210","1587","21908","3615"
"0500000US36045","Jefferson County, New York","114187","*****","98132","891","7565","985","664","173","1591","717","293","350","1453","802","4489","1205","288","258","4201","1196"
"0500000US36047","Kings County, New York","2648771","*****","1145345","10902","850150","8026","7169","2041","324552","4620","711","390","241515","11202","79329","6126","17111","3254","62218","5963"
