id,Geographic Area Name,total_population,total_white_population,pct-white,total_af_am_population,pct-af-am,total_am_ind_population,pct-am-ind,total_asian_population,pct-asian,total_nh_pi_population,pct-nh-pi,total_other_population,pct-other,total_multiple_races,pct-multiple_races,total_percentage
0500000US36001,"Albany County, New York",308846,230831,74.73983798,38386,12.42884803,788,0.25514334,21011,6.803066901,0,0,5538,1.793126672,12292,3.979977076,100
0500000US36005,"Bronx County, New York",1455720,312877,21.4929382,495031,34.00592147,8777,0.602931883,51958,3.569230346,372,0.025554365,528863,36.32999478,57842,3.973428956,100
0500000US36007,"Broome County, New York",195334,166572,85.27547688,12650,6.476087112,13,0.006655267,7006,3.586677179,21,0.010750817,1866,0.955286842,7206,3.689065908,100
0500000US36009,"Cattaraugus County, New York",77677,71286,91.7723393,1148,1.477914956,2615,3.366504886,509,0.655277624,0,0,376,0.484055769,1743,2.243907463,100
0500000US36011,"Cayuga County, New York",77861,71746,92.14626064,3240,4.161261736,139,0.178523266,400,0.513736017,0,0,554,0.711524383,1782,2.288693955,100
0500000US36013,"Chautauqua County, New York",129504,120008,92.66740796,3784,2.92191747,326,0.251729676,760,0.58685446,64,0.049419323,2035,1.571380035,2527,1.95129108,100
0500000US36015,"Chemung County, New York",86322,75851,87.86983619,4798,5.558258613,171,0.198095503,1588,1.839623734,22,0.025485971,770,0.89200899,3122,3.616690994,100
0500000US36019,"Clinton County, New York",81073,73092,90.15578553,3875,4.779643038,114,0.140614015,990,1.221121705,0,0,1811,2.233789301,1191,1.469046415,100
0500000US36027,"Dutchess County, New York",294473,232515,78.95970089,31588,10.72695969,989,0.335854221,10743,3.64821223,422,0.143306857,9189,3.120489824,9027,3.065476292,100
0500000US36029,"Erie County, New York",921046,718970,78.06016203,122691,13.32083305,4730,0.513546555,34132,3.705786682,405,0.043971745,18740,2.034643221,21378,2.321056712,100
0500000US36045,"Jefferson County, New York",114006,98583,86.47176464,5871,5.149728962,1667,1.462203744,1998,1.75253934,41,0.035963019,1425,1.249934214,4421,3.877866077,100
0500000US36047,"Kings County, New York",2629150,1124155,42.75735504,861749,32.77671491,8714,0.331437917,315850,12.01338836,1402,0.053325219,237591,9.036798965,79689,3.030979594,100
0500000US36051,"Livingston County, New York",64257,59522,92.63115303,1985,3.089157602,352,0.54780024,699,1.087819226,76,0.118275052,800,1.245000545,823,1.28079431,100
0500000US36053,"Madison County, New York",71329,67495,94.62490712,1272,1.783285901,203,0.284596728,726,1.017818839,152,0.213097057,200,0.280390865,1281,1.795903489,100
0500000US36055,"Monroe County, New York",747727,570709,76.32585155,113806,15.22026087,2763,0.369519892,26420,3.533375149,309,0.041325243,12100,1.618237672,21620,2.891429626,100
0500000US36059,"Nassau County, New York",1361500,926594,68.05684906,158561,11.64605215,3420,0.251193537,127934,9.396547925,285,0.020932795,102363,7.518398825,42343,3.110025707,100
0500000US36061,"New York County, New York",1643734,931953,56.69731234,246095,14.97170467,4555,0.277112964,204434,12.43717049,1205,0.073308698,179384,10.91320128,76108,4.630189556,100
0500000US36063,"Niagara County, New York",211758,185171,87.44463019,13450,6.351590023,2246,1.060644698,2082,0.983197801,141,0.066585442,1822,0.860416135,6846,3.23293571,100
0500000US36065,"Oneida County, New York",231190,197816,85.56425451,13313,5.758467062,400,0.173017864,9824,4.249318742,53,0.022924867,2474,1.070115489,7310,3.161901466,100
0500000US36067,"Onondaga County, New York",466194,370920,79.56344354,52781,11.32168153,1769,0.379455763,17413,3.735140306,81,0.017374741,6250,1.340643595,16980,3.642260518,100
0500000US36069,"Ontario County, New York",109828,101231,92.17230579,3180,2.895436501,584,0.53174054,1345,1.224642168,114,0.103798667,1649,1.501438613,1725,1.570637724,100
0500000US36071,"Orange County, New York",379210,278706,73.49647952,38853,10.24577411,1877,0.494976398,10686,2.817963661,149,0.039292213,32984,8.698082856,15955,4.207431239,100
0500000US36075,"Oswego County, New York",118987,113860,95.69112592,1795,1.508568163,184,0.154638742,730,0.613512401,75,0.063032096,167,0.140351467,2176,1.82877121,100
0500000US36079,"Putnam County, New York",98900,85102,86.04853387,1490,1.506572295,859,0.868554095,2214,2.238624874,56,0.056622851,7046,7.124368049,2133,2.156723964,100
0500000US36081,"Queens County, New York",2333054,905860,38.8272196,421307,18.05817611,9509,0.407577364,592922,25.41398527,1240,0.05314922,318657,13.65836367,83559,3.58152876,100
0500000US36083,"Rensselaer County, New York",160070,137956,86.18479415,9755,6.094208784,799,0.499156619,4019,2.510776535,0,0,1866,1.165739989,5675,3.545323921,100
0500000US36085,"Richmond County, New York",476015,352530,74.05859059,48920,10.27698707,251,0.052729431,40747,8.560024369,721,0.151465815,22464,4.719179017,10382,2.181023707,100
0500000US36087,"Rockland County, New York",326780,225848,69.11316482,40350,12.3477569,592,0.181161638,19686,6.024236489,49,0.014994798,33989,10.40118734,6266,1.917498011,100
0500000US36089,"St. Lawrence County, New York",110038,102840,93.45862338,2925,2.658172631,437,0.397135535,1489,1.353168905,11,0.009996547,472,0.428942729,1864,1.693960268,100
0500000US36091,"Saratoga County, New York",227053,211505,93.1522596,2719,1.19751776,484,0.213166089,6797,2.993574188,91,0.040078748,907,0.399466204,4550,2.003937407,100
0500000US36093,"Schenectady County, New York",154553,119476,77.30422573,14509,9.387718129,258,0.166933026,6739,4.360316526,219,0.141698964,7110,4.600363629,6242,4.038743991,100
0500000US36101,"Steuben County, New York",96940,91500,94.38828141,1835,1.892923458,120,0.12378791,1298,1.33897256,0,0,524,0.540540541,1663,1.71549412,100
0500000US36103,"Suffolk County, New York",1492583,1195796,80.11587965,111177,7.448630997,3361,0.225180107,58726,3.934521564,833,0.055809292,93130,6.239519008,29560,1.980459378,100
0500000US36105,"Sullivan County, New York",74801,60496,80.87592412,5662,7.569417521,52,0.069517787,1227,1.640352402,0,0,4373,5.846178527,2991,3.998609644,100
0500000US36109,"Tompkins County, New York",104871,83423,79.54820684,4698,4.479789456,268,0.255552059,10625,10.13149488,0,0,1656,1.579082873,4201,4.005873883,100
0500000US36111,"Ulster County, New York",179225,152042,84.83303111,10859,6.058864556,151,0.084251639,3969,2.214534803,21,0.011717115,5275,2.943227786,6908,3.854372995,100
0500000US36113,"Warren County, New York",64567,62127,96.22097976,690,1.068657364,85,0.131646197,603,0.933913609,82,0.126999861,146,0.226121703,834,1.291681509,100
0500000US36117,"Wayne County, New York",90798,84497,93.06041983,2458,2.707108086,59,0.064979405,775,0.85354303,0,0,1092,1.202669662,1917,2.111279984,100
0500000US36119,"Westchester County, New York",974542,628687,64.51102159,144510,14.82850406,2745,0.281670775,57962,5.947614367,192,0.019701562,107885,11.07032842,32561,3.341159232,100
0400000US36,New York,19745289,12530463,63.46051962,3080534,15.60136192,73052,0.369971794,1668036,8.447766958,9236,0.046775714,1767107,8.949511957,616861,3.12409203,100
