id,Geographic Area Name,total_population,total_white_population,pct-white,total_af_am_population,pct-af-am,total_am_ind_population,pct-am-ind,total_asian_population,pct-asian,total_nh_pi_population,pct-nh-pi,total_other_population,pct-other,total_multiple_races,pct-multiple_races,,total_percentage
0500000US36059,"Nassau County, New York",1358343,918655,67.63056165,162245,11.94433218,6223,0.458131709,135709,9.990775526,1093,0.080465685,97518,7.179188173,36900,2.716545085,,100
0500000US36071,"Orange County, New York",381951,279314,73.12822849,43050,11.27107927,797,0.208665509,10935,2.86293268,403,0.105510916,31422,8.226709709,16030,4.196873421,,100
0500000US36087,"Rockland County, New York",325695,233051,71.55498242,38958,11.96149772,377,0.115752468,19660,6.036322326,0,0,23189,7.119851395,10460,3.211593669,,100
0500000US36069,"Ontario County, New York",109864,101177,92.09295129,2638,2.401150513,230,0.209349741,1317,1.198754824,0,0,2118,1.927838054,2384,2.169955581,,100
0500000US36015,"Chemung County, New York",84254,74324,88.21420941,4999,5.93324946,15,0.017803309,1174,1.393405654,0,0,501,0.594630522,3241,3.84670164,,100
0500000US36045,"Jefferson County, New York",111755,95447,85.40736432,6760,6.048946356,250,0.223703637,1516,1.356538857,217,0.194174757,2144,1.918482395,5421,4.850789674,,100
0500000US36029,"Erie County, New York",919719,711887,77.4026632,121796,13.24274045,4117,0.447636724,34361,3.736032419,22,0.002392035,22467,2.442811337,25069,2.725723835,,100
0500000US36111,"Ulster County, New York",178599,149143,83.50718649,10718,6.001153422,503,0.281636515,3026,1.6942984,0,0,5113,2.862837978,10096,5.652887194,,100
0500000US36119,"Westchester County, New York",967612,610737,63.11796464,143734,14.8545078,2677,0.27666048,58946,6.091904606,223,0.023046428,121999,12.6082562,29296,3.027659847,,100
0500000US36113,"Warren County, New York",null,null,0,null,0,null,0,null,0,null,0,null,0,null,0,,0
0500000US36063,"Niagara County, New York",210433,183349,87.1293951,15579,7.403306516,1496,0.710915113,2791,1.326312888,0,0,1587,0.754159281,5631,2.675911098,,100
0500000US36079,"Putnam County, New York",98892,83229,84.16150953,3496,3.53516968,164,0.165837479,1949,1.970836873,0,0,8379,8.472879505,1675,1.693766938,,100
0500000US36051,"Livingston County, New York",63227,58876,93.11844623,2109,3.335600297,180,0.284688503,515,0.81452544,0,0,314,0.496623278,1233,1.950116248,,100
0500000US36103,"Suffolk County, New York",1481093,1206349,81.4499157,116010,7.832728937,5501,0.371414894,59485,4.016290672,232,0.015664108,57155,3.85897442,36361,2.455011265,,100
0500000US36011,"Cayuga County, New York",77145,71045,92.09281224,3506,4.544688573,132,0.171106358,580,0.751830968,0,0,529,0.685721693,1353,1.753840171,,100
0500000US36047,"Kings County, New York",2582830,1125773,43.58680207,827041,32.0207292,7200,0.278763991,300232,11.62414871,1370,0.053042593,226874,8.783930805,94340,3.652582632,,100
0500000US36067,"Onondaga County, New York",461809,367730,79.62815796,55880,12.10024058,3251,0.703970689,15963,3.456623842,74,0.016023941,3690,0.799031634,15221,3.295951357,,100
0500000US36001,"Albany County, New York",307117,228964,74.5526949,39649,12.91006359,282,0.091821684,21496,6.999286917,834,0.271557745,2771,0.902262004,13121,4.272313158,,100
0500000US36053,"Madison County, New York",70795,66512,93.95013772,1211,1.710572781,62,0.087576806,1485,2.097605763,0,0,659,0.930856699,866,1.22325023,,100
0500000US36081,"Queens County, New York",2278906,848180,37.21873566,419389,18.40308464,10219,0.448416916,588677,25.83156128,822,0.036069939,325379,14.27785964,86240,3.784271927,,100
0500000US36117,"Wayne County, New York",90064,84119,93.39913839,2042,2.267276603,7,0.007772251,640,0.710605791,0,0,886,0.983744893,2370,2.631462071,,100
0500000US36005,"Bronx County, New York",1432132,321890,22.47628012,509310,35.56306262,8717,0.608672944,54467,3.803210877,1945,0.135811503,473965,33.09506386,61838,4.317898071,,100
0500000US36089,"St. Lawrence County, New York",108047,99965,92.51992189,3066,2.837653984,841,0.778364971,1028,0.9514378,262,0.242487066,1470,1.360519033,1415,1.30961526,,100
0500000US36085,"Richmond County, New York",476179,347986,73.0788212,47098,9.890818369,451,0.094712283,48714,10.23018655,197,0.041370997,19649,4.126389446,12084,2.537701159,,100
0500000US36093,"Schenectady County, New York",155350,118937,76.56066946,15413,9.921467654,1502,0.966849051,7111,4.577405858,220,0.141615706,4065,2.616672031,8102,5.215320245,,100
0500000US36009,"Cattaraugus County, New York",76840,70431,91.65929204,1018,1.324830817,2539,3.30426861,481,0.625976054,0,0,589,0.76652785,1782,2.319104633,,100
0500000US36055,"Monroe County, New York",742474,560874,75.54123107,112272,15.12133758,3122,0.420486105,28479,3.835689869,171,0.02303111,15041,2.025794843,22515,3.032429418,,100
0500000US36105,"Sullivan County, New York",75498,61078,80.9001563,6663,8.825399348,312,0.41325598,1321,1.749715224,0,0,3860,5.112718218,2264,2.998754934,,100
0500000US36007,"Broome County, New York",191659,163081,85.0891427,10809,5.639703849,591,0.30836016,9341,4.873760168,99,0.05165424,3346,1.745808963,4392,2.291569924,,100
0500000US36027,"Dutchess County, New York",293718,229184,78.02858524,32319,11.00341144,1017,0.346250485,9867,3.359344678,23,0.00783064,10400,3.540811254,10908,3.713766266,,100
0500000US36101,"Steuben County, New York",95796,90696,94.6761869,1347,1.40611299,37,0.038623742,1564,1.632636018,0,0,507,0.529249656,1645,1.717190697,,100
0500000US36083,"Rensselaer County, New York",159442,136797,85.79734323,10611,6.655084608,192,0.120419965,4342,2.723247325,0,0,1114,0.69868667,6386,4.005218198,,100
0500000US36013,"Chautauqua County, New York",127939,116291,90.89566121,3434,2.684091637,394,0.307959262,716,0.559641704,157,0.122714731,4427,3.460242772,2520,1.96968868,,100
0500000US36019,"Clinton County, New York",80695,73115,90.60660512,3605,4.467439123,54,0.066918644,962,1.192143255,0,0,2439,3.0224921,520,0.64440176,,100
0500000US36061,"New York County, New York",1628701,904573,55.53953734,236356,14.51193313,12359,0.758825592,200213,12.29280267,916,0.056241139,193696,11.89266784,80588,4.947992296,,100
0500000US36091,"Saratoga County, New York",230163,212657,92.39408593,4948,2.149780808,554,0.240698983,6005,2.609020564,0,0,1697,0.737303563,4302,1.869110152,,100
0500000US36109,"Tompkins County, New York",102793,81512,79.29722841,4703,4.575214266,196,0.190674462,10518,10.23221426,0,0,2601,2.530327941,3263,3.174340665,,100
