"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US36001","Albany County, New York","209300","6729"
"0500000US36005","Bronx County, New York","368500","9954"
"0500000US36007","Broome County, New York","111900","3927"
"0500000US36009","Cattaraugus County, New York","88100","3679"
"0500000US36011","Cayuga County, New York","122600","5921"
"0500000US36013","Chautauqua County, New York","86300","3574"
"0500000US36015","Chemung County, New York","98600","5393"
"0500000US36019","Clinton County, New York","128700","8656"
"0500000US36027","Dutchess County, New York","268100","7232"
"0500000US36029","Erie County, New York","139800","2569"
"0500000US36045","Jefferson County, New York","155600","6221"
"0500000US36047","Kings County, New York","638500","9179"
"0500000US36051","Livingston County, New York","117200","9274"
"0500000US36053","Madison County, New York","134500","13736"
"0500000US36055","Monroe County, New York","143100","2299"
"0500000US36059","Nassau County, New York","458800","3409"
"0500000US36061","New York County, New York","867600","35147"
"0500000US36063","Niagara County, New York","115700","4717"
"0500000US36065","Oneida County, New York","117000","3943"
"0500000US36067","Onondaga County, New York","139500","3110"
"0500000US36069","Ontario County, New York","156400","7409"
"0500000US36071","Orange County, New York","262500","7602"
"0500000US36075","Oswego County, New York","102000","5225"
"0500000US36085","Richmond County, New York","457700","6482"
"0500000US36079","Putnam County, New York","344400","8419"
"0500000US36081","Queens County, New York","487400","7020"
"0500000US36083","Rensselaer County, New York","182100","6624"
"0500000US36087","Rockland County, New York","430600","9796"
"0500000US36089","St. Lawrence County, New York","89700","4664"
"0500000US36091","Saratoga County, New York","241600","6814"
"0500000US36093","Schenectady County, New York","167000","4805"
"0500000US36101","Steuben County, New York","92400","5199"
"0500000US36103","Suffolk County, New York","381700","3200"
"0500000US36105","Sullivan County, New York","168500","14069"
"0500000US36109","Tompkins County, New York","195100","9781"
"0500000US36111","Ulster County, New York","216900","7767"
"0500000US36113","Warren County, New York","187800","11512"
"0500000US36117","Wayne County, New York","120900","6863"
"0500000US36119","Westchester County, New York","514700","14577"
