"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)"
"0500000US36001","Albany County, New York","66204","3583"
"0500000US36005","Bronx County, New York","37397","1444"
"0500000US36007","Broome County, New York","47758","2719"
"0500000US36009","Cattaraugus County, New York","48484","3625"
"0500000US36011","Cayuga County, New York","56599","3700"
"0500000US36013","Chautauqua County, New York","46079","2670"
"0500000US36015","Chemung County, New York","51194","4868"
"0500000US36019","Clinton County, New York","58234","4388"
"0500000US36027","Dutchess County, New York","77915","4902"
"0500000US36029","Erie County, New York","55604","1224"
"0500000US36045","Jefferson County, New York","47101","2551"
"0500000US36047","Kings County, New York","56942","1151"
"0500000US36051","Livingston County, New York","55931","3445"
"0500000US36053","Madison County, New York","57069","6307"
"0500000US36055","Monroe County, New York","57561","1799"
"0500000US36059","Nassau County, New York","108133","2724"
"0500000US36061","New York County, New York","85071","3520"
"0500000US36063","Niagara County, New York","54743","2780"
"0500000US36065","Oneida County, New York","53902","2438"
"0500000US36067","Onondaga County, New York","57652","1941"
"0500000US36069","Ontario County, New York","66004","3939"
"0500000US36071","Orange County, New York","79311","4104"
"0500000US36075","Oswego County, New York","53406","3806"
"0500000US36079","Putnam County, New York","99479","8674"
"0500000US36081","Queens County, New York","64509","1327"
"0500000US36083","Rensselaer County, New York","64050","3738"
"0500000US36085","Richmond County, New York","79201","2788"
"0500000US36087","Rockland County, New York","88726","4085"
"0500000US36089","St. Lawrence County, New York","50325","3063"
"0500000US36091","Saratoga County, New York","83726","4436"
"0500000US36093","Schenectady County, New York","62514","3196"
"0500000US36101","Steuben County, New York","50930","2974"
"0500000US36103","Suffolk County, New York","94750","2550"
"0500000US36105","Sullivan County, New York","55309","7162"
"0500000US36109","Tompkins County, New York","56672","6303"
"0500000US36111","Ulster County, New York","63621","3907"
"0500000US36113","Warren County, New York","60541","4759"
"0500000US36117","Wayne County, New York","51326","3133"
"0500000US36119","Westchester County, New York","90578","3039"
