"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"0500000US36001","Albany County, New York","926","20"
"0500000US36005","Bronx County, New York","1107","12"
"0500000US36007","Broome County, New York","699","29"
"0500000US36009","Cattaraugus County, New York","617","32"
"0500000US36011","Cayuga County, New York","694","37"
"0500000US36013","Chautauqua County, New York","595","26"
"0500000US36015","Chemung County, New York","750","56"
"0500000US36019","Clinton County, New York","741","33"
"0500000US36027","Dutchess County, New York","1158","33"
"0500000US36029","Erie County, New York","746","16"
"0500000US36045","Jefferson County, New York","909","52"
"0500000US36047","Kings County, New York","1283","12"
"0500000US36051","Livingston County, New York","756","62"
"0500000US36053","Madison County, New York","738","75"
"0500000US36055","Monroe County, New York","855","14"
"0500000US36059","Nassau County, New York","1656","47"
"0500000US36061","New York County, New York","1611","38"
"0500000US36063","Niagara County, New York","667","32"
"0500000US36065","Oneida County, New York","733","24"
"0500000US36067","Onondaga County, New York","834","16"
"0500000US36069","Ontario County, New York","844","47"
"0500000US36071","Orange County, New York","1176","32"
"0500000US36075","Oswego County, New York","701","36"
"0500000US36079","Putnam County, New York","1224","77"
"0500000US36081","Queens County, New York","1434","14"
"0500000US36083","Rensselaer County, New York","871","32"
"0500000US36085","Richmond County, New York","1208","51"
"0500000US36087","Rockland County, New York","1374","53"
"0500000US36089","St. Lawrence County, New York","722","59"
"0500000US36091","Saratoga County, New York","1044","87"
"0500000US36093","Schenectady County, New York","859","24"
"0500000US36101","Steuben County, New York","636","32"
"0500000US36103","Suffolk County, New York","1567","45"
"0500000US36105","Sullivan County, New York","876","56"
"0500000US36109","Tompkins County, New York","1080","61"
"0500000US36111","Ulster County, New York","996","51"
"0500000US36113","Warren County, New York","872","40"
"0500000US36117","Wayne County, New York","705","48"
"0500000US36119","Westchester County, New York","1393","33"
