"GEO_ID","NAME","B25061_001E","B25061_001M","B25061_002E","B25061_002M","B25061_003E","B25061_003M","B25061_004E","B25061_004M","B25061_005E","B25061_005M","B25061_006E","B25061_006M","B25061_007E","B25061_007M","B25061_008E","B25061_008M","B25061_009E","B25061_009M","B25061_010E","B25061_010M","B25061_011E","B25061_011M","B25061_012E","B25061_012M","B25061_013E","B25061_013M","B25061_014E","B25061_014M","B25061_015E","B25061_015M","B25061_016E","B25061_016M","B25061_017E","B25061_017M","B25061_018E","B25061_018M","B25061_019E","B25061_019M","B25061_020E","B25061_020M","B25061_021E","B25061_021M","B25061_022E","B25061_022M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $100","Margin of Error!!Total!!Less than $100","Estimate!!Total!!$100 to $149","Margin of Error!!Total!!$100 to $149","Estimate!!Total!!$150 to $199","Margin of Error!!Total!!$150 to $199","Estimate!!Total!!$200 to $249","Margin of Error!!Total!!$200 to $249","Estimate!!Total!!$250 to $299","Margin of Error!!Total!!$250 to $299","Estimate!!Total!!$300 to $349","Margin of Error!!Total!!$300 to $349","Estimate!!Total!!$350 to $399","Margin of Error!!Total!!$350 to $399","Estimate!!Total!!$400 to $449","Margin of Error!!Total!!$400 to $449","Estimate!!Total!!$450 to $499","Margin of Error!!Total!!$450 to $499","Estimate!!Total!!$500 to $549","Margin of Error!!Total!!$500 to $549","Estimate!!Total!!$550 to $599","Margin of Error!!Total!!$550 to $599","Estimate!!Total!!$600 to $649","Margin of Error!!Total!!$600 to $649","Estimate!!Total!!$650 to $699","Margin of Error!!Total!!$650 to $699","Estimate!!Total!!$700 to $749","Margin of Error!!Total!!$700 to $749","Estimate!!Total!!$750 to $799","Margin of Error!!Total!!$750 to $799","Estimate!!Total!!$800 to $899","Margin of Error!!Total!!$800 to $899","Estimate!!Total!!$900 to $999","Margin of Error!!Total!!$900 to $999","Estimate!!Total!!$1,000 to $1,249","Margin of Error!!Total!!$1,000 to $1,249","Estimate!!Total!!$1,250 to $1,499","Margin of Error!!Total!!$1,250 to $1,499","Estimate!!Total!!$1,500 to $1,999","Margin of Error!!Total!!$1,500 to $1,999","Estimate!!Total!!$2,000 or more","Margin of Error!!Total!!$2,000 or more"
"0500000US36001","Albany County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36005","Bronx County, New York","12686","1747","78","129","601","337","195","187","586","458","364","311","0","189","76","126","77","125","171","227","207","248","353","326","172","202","428","697","653","385","361","337","607","358","1412","715","3492","1044","1334","566","1519","621","0","189"
"0500000US36007","Broome County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36009","Cattaraugus County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36011","Cayuga County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36013","Chautauqua County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36015","Chemung County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36019","Clinton County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36027","Dutchess County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36029","Erie County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36045","Jefferson County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36047","Kings County, New York","29069","2457","153","179","79","129","325","366","366","361","219","210","282","205","735","482","356","296","80","130","648","360","101","132","843","448","381","284","779","431","764","444","1997","667","1922","648","6574","1112","4021","986","5045","1170","3399","761"
"0500000US36051","Livingston County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36053","Madison County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36055","Monroe County, New York","10294","1900","41","69","0","189","0","189","321","366","62","103","146","159","55","92","589","355","462","305","661","347","382","285","494","308","711","402","429","326","750","474","1858","925","487","487","1949","903","132","219","293","355","472","395"
"0500000US36059","Nassau County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36061","New York County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36063","Niagara County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36065","Oneida County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36067","Onondaga County, New York","5836","1330","0","189","0","189","0","189","0","189","0","189","110","127","0","189","406","399","333","262","531","314","627","359","547","396","403","288","514","378","488","412","994","657","483","426","342","287","0","189","0","189","58","95"
