"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"0500000US36001","Albany County, New York","52846","2308","51367","2388","42","69","165","154","553","458","902","406","831","512","682","360","779","443","1009","471","457","298","486","339","985","534","1446","716","1945","664","2617","842","2772","876","8464","1425","6908","1301","13096","1721","3765","879","2073","718","1390","562","1479","600"
"0500000US36005","Bronx County, New York","403085","4698","392486","4782","1055","639","1637","727","3540","905","15053","1817","12193","1859","8901","1520","8140","1483","9400","1456","6832","1248","6951","1575","5688","1221","6693","1379","6445","1093","7281","1623","10149","1661","22045","2234","33667","3443","99278","4814","67276","3716","48424","3315","11838","1596","10599","1779"
"0500000US36007","Broome County, New York","28035","1941","26970","1837","82","108","88","90","330","270","352","222","697","413","497","376","208","131","553","341","1239","428","2077","894","2143","788","1113","527","2145","815","2713","936","1811","797","2227","821","3230","852","3455","929","872","387","758","447","380","251","1065","419"
"0500000US36009","Cattaraugus County, New York","8911","917","7959","869","0","189","25","43","24","32","195","164","60","56","370","191","407","261","503","318","601","252","812","369","675","270","840","347","632","276","614","287","317","169","653","244","401","229","528","251","277","218","25","42","0","189","952","317"
"0500000US36011","Cayuga County, New York","9457","1099","8405","1079","148","182","71","114","91","113","344","300","183","136","260","226","268","261","413","315","155","109","486","471","497","326","658","420","681","350","623","392","470","330","826","395","1016","391","733","346","144","132","258","245","80","123","1052","484"
"0500000US36013","Chautauqua County, New York","15008","1591","14263","1535","0","189","22","37","151","164","260","152","417","196","693","286","1045","434","607","283","1453","653","1267","561","1351","551","1065","454","958","413","1058","521","591","372","1486","527","633","346","989","397","89","75","128","104","0","189","745","357"
"0500000US36015","Chemung County, New York","10870","1111","10553","1113","106","182","0","189","66","115","282","216","139","134","413","368","330","217","279","248","112","118","449","247","680","434","636","301","990","518","506","319","520","366","1559","573","1006","427","1773","648","303","261","229","224","175","106","317","245"
"0500000US36019","Clinton County, New York","9692","1316","9020","1323","0","189","0","189","189","255","129","106","35","45","16","26","169","161","363","267","288","222","551","473","214","185","687","367","1162","603","354","225","528","393","1209","528","1043","435","1545","518","193","174","294","238","51","92","672","393"
"0500000US36027","Dutchess County, New York","34231","2318","31924","2223","0","189","22","37","0","189","150","144","202","210","410","378","575","375","307","207","367","256","138","144","457","389","879","521","479","313","1024","627","1250","631","1794","772","2587","806","8952","1503","5124","1100","4780","1060","2427","679","2307","813"
"0500000US36029","Erie County, New York","134093","4310","129412","4316","748","436","455","374","832","431","3568","713","2650","795","2346","885","3374","853","2961","885","3949","921","5946","1288","9052","1773","7863","1489","9091","1475","10610","1773","11784","1645","19589","2207","12034","1665","13841","1827","4907","1196","2753","710","1059","432","4681","1004"
"0500000US36045","Jefferson County, New York","19747","1582","17007","1531","56","97","99","157","601","389","420","272","482","373","358","176","410","224","200","174","325","252","229","143","307","225","881","565","403","314","749","416","1158","593","1048","448","1530","612","3368","984","2407","676","1626","534","350","247","2740","730"
"0500000US36047","Kings County, New York","674002","6642","654875","6619","1038","508","1872","761","5644","1489","19332","2160","12100","1903","11104","1883","6432","1221","11094","1571","8221","1405","8867","1380","8187","1646","12650","1795","9544","1744","12256","1794","11521","1805","29851","2395","38591","3125","121201","4505","113625","4522","128897","5068","82848","3800","19127","2087"
"0500000US36051","Livingston County, New York","7353","1023","7024","1033","0","189","0","189","0","189","122","144","58","95","79","72","22","28","222","182","134","136","481","289","1023","567","192","137","889","521","664","383","544","355","645","363","645","433","589","365","153","153","56","84","506","419","329","248"
"0500000US36053","Madison County, New York","6545","1056","5702","961","0","189","47","76","162","185","177","196","117","130","105","132","254","193","30","32","155","218","276","247","239","205","217","144","291","203","366","256","832","545","1004","390","428","240","842","437","128","121","32","42","0","189","843","469"
"0500000US36055","Monroe County, New York","106350","3616","103631","3689","65","106","101","120","376","187","1873","735","1325","483","1149","551","1143","549","1724","490","2781","825","2766","808","6742","1544","4889","1017","6535","1142","7449","1303","9498","1177","15720","1855","11150","1731","17257","2030","5105","1154","3601","950","2382","597","2719","833"
"0500000US36059","Nassau County, New York","85881","4147","80716","3962","0","189","153","161","0","189","850","496","612","330","858","356","915","559","514","314","663","404","818","423","323","338","475","336","637","504","735","542","579","389","2246","690","2298","791","8668","1449","11439","1697","21799","2758","26134","2898","5165","1105"
"0500000US36061","New York County, New York","589484","10114","575568","10037","1179","672","1875","656","3560","1285","16732","3084","12136","2382","9866","1912","7368","1524","6270","1404","6143","1163","9474","1847","9416","2086","8431","1668","10170","2154","9245","1949","12628","2443","22630","3235","23698","2845","60161","4281","51427","4481","86826","5997","206333","7601","13916","2642"
"0500000US36063","Niagara County, New York","23858","1790","22196","1795","0","189","126","201","401","340","427","274","832","592","422","273","586","363","1503","540","1753","717","1303","522","1925","659","2282","799","1694","564","1953","547","1381","674","2584","746","1466","547","827","404","332","222","295","203","104","124","1662","507"
"0500000US36065","Oneida County, New York","31560","2070","29267","2035","142","191","48","74","395","253","606","311","553","300","278","153","803","412","1017","501","1655","792","1783","583","1844","532","1912","704","2858","748","2242","794","1673","579","3420","1008","2570","830","3634","1074","864","312","570","343","400","223","2293","804"
"0500000US36067","Onondaga County, New York","64413","2845","63032","2792","392","238","143","112","551","411","1982","587","872","422","1153","465","710","351","1454","543","1189","431","2545","787","2516","584","3933","1063","5379","1051","6043","1201","5443","1061","9722","1457","5737","929","7779","1276","2978","784","1516","638","995","436","1381","460"
"0500000US36069","Ontario County, New York","12048","1491","11125","1468","39","65","0","189","69","87","125","117","201","139","114","111","261","248","342","285","246","159","920","434","536","241","524","275","510","338","1219","613","698","395","1529","658","1029","452","1084","436","804","537","639","340","236","240","923","558"
"0500000US36071","Orange County, New York","36572","2160","34521","2165","26","44","0","189","312","251","89","107","119","162","253","240","325","279","355","323","356","229","369","317","323","264","927","518","282","266","1150","553","973","505","2901","781","2457","873","9493","1514","6098","1228","5084","1097","2629","720","2051","691"
"0500000US36075","Oswego County, New York","13027","1405","11582","1332","48","83","0","189","150","134","113","105","160","132","470","266","304","299","542","394","518","260","582","397","734","428","1376","660","936","505","932","430","489","336","1894","628","1006","545","548","253","584","401","172","186","24","31","1445","640"
"0500000US36079","Putnam County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36081","Queens County, New York","447469","6729","432053","6910","366","426","276","179","1568","623","6035","1279","2524","762","3217","869","2319","765","3767","931","1887","619","3293","749","4527","1150","4831","919","4176","969","5303","1181","4955","1202","15943","2110","22159","2540","75034","4184","99214","5565","124078","5578","46581","2727","15416","2179"
"0500000US36083","Rensselaer County, New York","22942","2007","21271","1806","0","189","9","14","229","264","279","233","274","233","160","219","157","254","418","312","447","274","680","467","775","472","692","475","1300","579","891","360","917","386","2227","736","3189","848","4396","1039","2131","799","1834","818","266","267","1671","787"
"0500000US36085","Richmond County, New York","52462","3517","49284","3427","550","576","347","281","1260","877","1464","569","1464","581","296","215","324","204","361","220","303","310","227","201","1244","700","893","468","696","403","1089","688","1063","615","2693","820","3420","1117","11656","1823","6883","1457","8270","1449","4781","1138","3178","843"
"0500000US36087","Rockland County, New York","31072","2403","29400","2289","37","65","0","189","0","189","279","174","637","402","87","88","533","429","278","254","36","59","891","445","702","507","215","180","212","174","208","152","640","338","650","344","1756","678","6978","1387","4749","1269","6479","1308","4033","902","1672","708"
"0500000US36089","St. Lawrence County, New York","11661","1345","10566","1277","0","189","20","33","170","158","459","244","278","181","388","305","176","152","443","286","551","288","652","401","988","423","529","319","741","400","881","456","904","377","1088","453","840","395","662","348","349","247","206","146","241","217","1095","448"
"0500000US36091","Saratoga County, New York","26615","1995","25722","1926","96","155","0","189","43","72","507","338","170","170","642","470","153","173","78","88","145","137","973","538","356","234","889","589","780","417","1300","604","594","358","2870","844","3031","769","7775","1437","2019","639","2222","860","1079","546","893","388"
"0500000US36093","Schenectady County, New York","19068","1720","17815","1792","0","189","254","273","149","153","616","351","116","140","201","275","244","210","229","173","419","325","1229","646","390","335","621","293","463","291","1146","484","1288","608","2637","834","1584","553","3383","899","958","462","1211","659","677","318","1253","488"
"0500000US36101","Steuben County, New York","12975","1064","12063","1038","50","86","0","189","0","189","394","227","104","91","681","369","280","188","365","257","594","294","912","358","994","410","684","338","1109","457","756","392","677","275","1226","389","882","438","1331","470","791","364","109","132","124","200","912","283"
