"GEO_ID","id",
"NAME","Geographic Area Name",
"B25063_001E","Estimate!!Total",
"B25063_001M","Margin of Error!!Total",
"B25063_002E","Estimate!!Total!!With cash rent",
"B25063_002M","Margin of Error!!Total!!With cash rent",
"B25063_003E","Estimate!!Total!!With cash rent!!Less than $100",
"B25063_003M","Margin of Error!!Total!!With cash rent!!Less than $100",
"B25063_004E","Estimate!!Total!!With cash rent!!$100 to $149",
"B25063_004M","Margin of Error!!Total!!With cash rent!!$100 to $149",
"B25063_005E","Estimate!!Total!!With cash rent!!$150 to $199",
"B25063_005M","Margin of Error!!Total!!With cash rent!!$150 to $199",
"B25063_006E","Estimate!!Total!!With cash rent!!$200 to $249",
"B25063_006M","Margin of Error!!Total!!With cash rent!!$200 to $249",
"B25063_007E","Estimate!!Total!!With cash rent!!$250 to $299",
"B25063_007M","Margin of Error!!Total!!With cash rent!!$250 to $299",
"B25063_008E","Estimate!!Total!!With cash rent!!$300 to $349",
"B25063_008M","Margin of Error!!Total!!With cash rent!!$300 to $349",
"B25063_009E","Estimate!!Total!!With cash rent!!$350 to $399",
"B25063_009M","Margin of Error!!Total!!With cash rent!!$350 to $399",
"B25063_010E","Estimate!!Total!!With cash rent!!$400 to $449",
"B25063_010M","Margin of Error!!Total!!With cash rent!!$400 to $449",
"B25063_011E","Estimate!!Total!!With cash rent!!$450 to $499",
"B25063_011M","Margin of Error!!Total!!With cash rent!!$450 to $499",
"B25063_012E","Estimate!!Total!!With cash rent!!$500 to $549",
"B25063_012M","Margin of Error!!Total!!With cash rent!!$500 to $549",
"B25063_013E","Estimate!!Total!!With cash rent!!$550 to $599",
"B25063_013M","Margin of Error!!Total!!With cash rent!!$550 to $599",
"B25063_014E","Estimate!!Total!!With cash rent!!$600 to $649",
"B25063_014M","Margin of Error!!Total!!With cash rent!!$600 to $649",
"B25063_015E","Estimate!!Total!!With cash rent!!$650 to $699",
"B25063_015M","Margin of Error!!Total!!With cash rent!!$650 to $699",
"B25063_016E","Estimate!!Total!!With cash rent!!$700 to $749",
"B25063_016M","Margin of Error!!Total!!With cash rent!!$700 to $749",
"B25063_017E","Estimate!!Total!!With cash rent!!$750 to $799",
"B25063_017M","Margin of Error!!Total!!With cash rent!!$750 to $799",
"B25063_018E","Estimate!!Total!!With cash rent!!$800 to $899",
"B25063_018M","Margin of Error!!Total!!With cash rent!!$800 to $899",
"B25063_019E","Estimate!!Total!!With cash rent!!$900 to $999",
"B25063_019M","Margin of Error!!Total!!With cash rent!!$900 to $999",
"B25063_020E","Estimate!!Total!!With cash rent!!$1,000 to $1,249",
"B25063_020M","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249",
"B25063_021E","Estimate!!Total!!With cash rent!!$1,250 to $1,499",
"B25063_021M","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499",
"B25063_022E","Estimate!!Total!!With cash rent!!$1,500 to $1,999",
"B25063_022M","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999",
"B25063_023E","Estimate!!Total!!With cash rent!!$2,000 or more",
"B25063_023M","Margin of Error!!Total!!With cash rent!!$2,000 or more",
"B25063_024E","Estimate!!Total!!No cash rent",
"B25063_024M","Margin of Error!!Total!!No cash rent",
