"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"0500000US36001","Albany County, New York","57111","3157","56114","3102","0","192","88","143","427","323","639","364","919","477","823","445","305","255","510","370","1388","656","867","507","1609","882","1212","468","2559","800","1953","719","3935","1135","7915","1898","6437","1509","11935","1760","6728","1218","3887","976","1170","641","400","358","341","347","67","113","997","540"
"0500000US36005","Bronx County, New York","402257","4695","392446","4851","969","579","1049","505","2861","910","15351","2116","11321","1530","8631","1541","8621","1821","7612","1925","6382","1373","6387","1626","3533","1143","7186","1567","7119","1631","8072","1375","6753","1308","19433","2729","27143","2818","91800","4927","79282","4896","58959","3244","11174","1871","1665","679","828","600","315","242","9811","1760"
"0500000US36007","Broome County, New York","27576","2264","26390","2256","26","48","0","192","0","192","78","79","326","242","497","412","631","362","1032","553","1903","745","2087","767","2128","838","985","361","1798","661","1898","761","1801","719","3460","953","2162","754","3157","989","1426","559","435","248","306","277","74","124","107","174","73","120","1186","474"
"0500000US36009","Cattaraugus County, New York","8599","1152","7945","1092","106","110","0","192","69","63","228","235","163","72","176","107","625","379","265","146","818","420","515","230","698","369","811","382","662","304","983","372","225","161","518","265","637","379","312","210","62","88","46","78","26","43","0","192","0","192","0","192","654","270"
"0500000US36011","Cayuga County, New York","9133","1139","8624","1127","0","192","0","192","24","32","169","178","308","273","125","165","274","296","149","144","117","105","474","305","427","263","843","555","782","455","992","482","451","239","955","464","778","491","1303","594","440","335","13","21","0","192","0","192","0","192","0","192","509","184"
"0500000US36013","Chautauqua County, New York","16506","1691","15772","1667","0","192","0","192","112","119","452","236","137","146","375","241","810","370","921","480","861","407","2246","739","1426","534","1487","413","1404","529","1104","539","717","495","1534","607","880","402","740","300","480","486","50","84","36","46","0","192","0","192","0","192","734","250"
"0500000US36015","Chemung County, New York","12147","1435","11623","1363","64","108","0","192","9","14","485","397","340","269","362","325","205","215","270","187","398","308","686","381","604","385","813","389","603","414","477","352","819","439","1444","568","1103","543","1953","732","513","528","211","187","194","144","70","127","0","192","0","192","524","386"
"0500000US36019","Clinton County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36027","Dutchess County, New York","34965","2336","33021","2362","100","157","91","150","56","97","519","354","226","273","532","419","196","176","150","175","100","174","485","404","267","331","250","279","722","467","1200","574","1152","532","2673","662","3618","866","7326","1197","6192","1377","4705","1237","1720","635","656","394","85","102","0","192","1944","716"
