"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied"
"0500000US36001","Albany County, New York","123862","1955","67447","2458","56415","2907"
"0500000US36005","Bronx County, New York","495513","2449","92845","3862","402668","4478"
"0500000US36007","Broome County, New York","78398","1822","50386","1898","28012","1726"
"0500000US36009","Cattaraugus County, New York","31174","1083","21556","1063","9618","976"
"0500000US36011","Cayuga County, New York","31368","1031","22034","1105","9334","1127"
"0500000US36013","Chautauqua County, New York","51579","1639","35903","1447","15676","1349"
"0500000US36015","Chemung County, New York","34546","1160","24556","1193","9990","1040"
"0500000US36019","Clinton County, New York","31249","1188","20480","1153","10769","1347"
"0500000US36027","Dutchess County, New York","106319","1894","72058","2436","34261","2435"
"0500000US36029","Erie County, New York","383099","3236","246439","4289","136660","5101"
"0500000US36045","Jefferson County, New York","43145","1352","23828","1174","19317","1408"
"0500000US36047","Kings County, New York","940176","4456","270013","5585","670163","6681"
"0500000US36051","Livingston County, New York","24189","1045","17133","994","7056","926"
"0500000US36053","Madison County, New York","26305","1265","20372","1172","5933","1035"
"0500000US36055","Monroe County, New York","298151","2928","190785","3375","107366","3228"
"0500000US36059","Nassau County, New York","436567","3025","349758","4782","86809","4335"
"0500000US36061","New York County, New York","751244","8616","176869","6712","574375","9863"
"0500000US36063","Niagara County, New York","84893","1753","58768","2176","26125","1838"
"0500000US36065","Oneida County, New York","90396","1738","57775","2074","32621","2363"
"0500000US36067","Onondaga County, New York","182581","2686","117518","2771","65063","3014"
"0500000US36069","Ontario County, New York","43692","1353","32169","1296","11523","1315"
"0500000US36071","Orange County, New York","125470","2371","83610","2742","41860","2506"
"0500000US36075","Oswego County, New York","45115","1369","33470","1706","11645","1408"
"0500000US36079","Putnam County, New York","34181","1273","27459","1518","6722","1177"
"0500000US36081","Queens County, New York","774752","3898","334859","5885","439893","6016"
"0500000US36083","Rensselaer County, New York","62585","1694","40356","1758","22229","1918"
"0500000US36085","Richmond County, New York","167462","2019","115316","3223","52146","3166"
"0500000US36087","Rockland County, New York","99875","1251","66859","1842","33016","1779"
"0500000US36089","St. Lawrence County, New York","42771","1308","30520","1426","12251","1404"
"0500000US36091","Saratoga County, New York","90999","1975","66095","1909","24904","2148"
"0500000US36093","Schenectady County, New York","52514","1718","35131","1960","17383","1829"
"0500000US36101","Steuben County, New York","39517","1110","27481","1278","12036","1132"
"0500000US36103","Suffolk County, New York","481796","4762","383815","6239","97981","5418"
"0500000US36105","Sullivan County, New York","28394","1577","19178","1215","9216","1218"
"0500000US36109","Tompkins County, New York","38112","1463","20540","1408","17572","1552"
"0500000US36111","Ulster County, New York","69594","2222","47653","2269","21941","2034"
"0500000US36113","Warren County, New York","24222","1485","17112","1278","7110","1070"
"0500000US36117","Wayne County, New York","35841","1300","26638","1381","9203","1274"
"0500000US36119","Westchester County, New York","338319","2839","204901","3793","133418","3748"
