GEOID,year,name,parent_location,population,poverty_rate,pct_owner_occupied,pct_renter_occupied,median_rent,median_income,median_property_value,pct_rent_burden,pct_white_population,pct_african_american,pct_american_indian,pct_asian,pct_native_hawaiian_and_other_pacific_islander,pct_other,pct_multiple_races
36001,2015,Albany County,New York,309381,10.8,53.31031032,43.89247541,906,54392,202571,28.8,76.63,11.91,0.2,6.34,0.11,1.29,3.34
36003,2015,Allegany County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005,2015,Bronx County,New York,1455444,29.3,18.04694725,80.75827884,1095,33784,358546,34.5,20.39,32.68,0.64,3.68,0,38.97,2.22
36007,2015,Broome County,New York,196567,15.9,63.32010029,34.32668199,670,43703,107973,30.5,86.06,5.79,0.17,4.28,0.05,0.89,2.65
36009,2015,Cattaraugus County,New York,77922,16.1,68.10341963,28.7195507,585,37647,84421,27.2,91.75,1.78,2.93,1.02,0,0.65,1.79
36011,2015,Cayuga County,New York,78288,8.3,68.98836404,27.05277384,657,49401,116679,22.1,92.27,4.68,0.14,0.32,0,0.52,2.03
36013,2015,Chautauqua County,New York,130779,14.4,68.99479375,28.68842611,569,41527,82726,29.3,93.02,2.47,0.58,0.65,0.11,1.55,1.44
36015,2015,Chemung County,New York,87071,11.5,69.97843407,26.80764392,694,49159,93207,27.7,87.99,7.62,0.21,1.06,0.03,0.72,2.32
36017,2015,Chenango County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36019,2015,Clinton County,New York,81251,15.2,64.29260504,31.34293603,708,41725,120044,26.1,91.74,4.7,0.06,1.56,0.01,0.82,0.76
36021,2015,Columbia County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36023,2015,Cortland County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36025,2015,Delaware County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36027,2015,Dutchess County,New York,295754,8.6,66.671774,30.47737611,1125,68537,260868,29,77.22,10.56,0.27,3.89,0.09,4.96,2.33
36029,2015,Erie County,New York,922578,14.7,63.74666656,34.63327568,730,51050,137231,28.7,77.86,13.66,0.46,3.48,0.03,2.5,1.61
36031,2015,Essex County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36033,2015,Franklin County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36035,2015,Fulton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36037,2015,Genesee County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36039,2015,Greene County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36041,2015,Hamilton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36043,2015,Herkimer County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36045,2015,Jefferson County,New York,117635,11,54.20524968,42.85167373,857,48304,149379,27.4,86.18,6.66,0.46,2,0.19,0.95,2.68
36047,2015,Kings County,New York,2636735,21.6,28.25930834,70.90604027,1271,50575,629321,31.6,43.37,32.66,0.38,12.11,0.01,8.9,1.94
36049,2015,Lewis County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36051,2015,Livingston County,New York,64717,9.6,69.73297615,26.48634635,694,47944,107926,25.9,93.16,1.26,0.15,1.45,0,1.06,2.92
36053,2015,Madison County,New York,71849,9.5,76.67731629,19.56070288,663,56526,120764,19.6,94.8,2.8,0.03,0.68,0,0.12,1.44
36055,2015,Monroe County,New York,749600,13.9,63.48082636,35.27435193,841,52154,140801,31.4,76.12,15.75,0.48,3.89,0.01,1.43,1.96
36057,2015,Montgomery County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36059,2015,Nassau County,New York,1361350,5.2,79.5715294,19.02330109,1609,100391,455391,32,68.68,11.83,0.2,9.23,0.01,7.06,2.02
36061,2015,New York County,New York,1644518,16.7,22.91281772,76.01544784,1573,73009,832453,28.2,56.39,14.75,0.34,12.22,0.04,11.84,3.39
36063,2015,Niagara County,New York,212652,14.2,68.0683185,29.21217224,635,44537,110983,27.2,87.06,7.13,0.7,1.34,0,1,2.38
36065,2015,Oneida County,New York,232500,16.6,62.82681766,34.12889982,709,44049,113057,29.4,84.9,5.53,0.26,3.99,0.23,2.02,2.57
36067,2015,Onondaga County,New York,468463,13.6,63.78554157,34.49178688,818,55805,136390,27.6,80.07,11.07,0.65,3.72,0.04,1.04,3.16
36069,2015,Ontario County,New York,109561,6.8,72.9185857,24.11015848,797,53247,148991,24.3,93.28,3.26,0.04,1.56,0.08,0.97,0.77
36071,2015,Orange County,New York,377647,10.3,65.69346623,31.96939049,1144,68657,254898,31.9,73.57,10.77,0.39,2.52,0.01,9.95,1.75
36073,2015,Orleans County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36075,2015,Oswego County,New York,120146,14.6,72.61006721,23.40099666,665,47226,96775,26.4,96,0.66,0.13,0.8,0,0.67,1.7
36077,2015,Otsego County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36079,2015,Putnam County,New York,99042,3.4,78.82885621,16.85000608,1147,84112,451218,30.8,88.49,2.84,0.32,2.19,0.04,3.5,2.05
36081,2015,Queens County,New York,2339150,13.2,42.67656391,56.28523689,1420,59699,335981,32.2,39.23,18.19,0.42,25.3,0.02,13.42,2.2
36083,2015,Rensselaer County,New York,160266,9.8,63.38867813,33.35632524,839,57764,480380,28.4,86.75,6.3,0.07,2.74,0,0.39,3.53
36085,2015,Richmond County,New York,474558,12.8,67.75324432,29.60536257,1157,69090,175476,30.3,74.78,10.63,0.19,8.35,0.06,3.74,1.76
36087,2015,Rockland County,New York,326037,12.2,65.92411583,31.67281798,1321,81812,420804,33.4,69.24,12.72,0.1,6.14,0.02,8.8,1.73
36089,2015,St. Lawrence County,New York,111007,15.7,70.16858404,26.16067337,663,39118,85036,32,92.65,2.23,0.64,1.1,0,1.16,2
36091,2015,Saratoga County,New York,226249,4.4,72.09965852,25.5616463,957,71505,234786,23.6,93.1,1.62,0.06,2.96,0.03,0.59,1.44
36093,2015,Schenectady County,New York,154604,8.5,65.30238601,30.6205213,835,57188,162195,27.1,76.79,9.76,0.11,4.66,0,3.94,3.66
36095,2015,Schoharie County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36097,2015,Schuyler County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36099,2015,Seneca County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36101,2015,Steuben County,New York,97631,12.6,68.2245424,28.39065795,604,43904,87201,24.4,94.8,1.77,0.06,1.7,0.01,0.49,1.14
36103,2015,Suffolk County,New York,1501587,6.9,79.15075236,19.40385801,1522,85925,378500,36.2,80.68,7.74,0.17,4.18,0.02,4.58,2.08
36105,2015,Sullivan County,New York,74877,14.1,66.98362979,29.82436514,820,45670,154431,26.2,79.73,8.91,0.09,1.95,0,5.63,3.58
36107,2015,Tioga County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36109,2015,Tompkins County,New York,104926,18.5,52.20333433,43.71197031,1019,53567,185319,29.6,80.21,2.76,0.54,10.8,0,1.19,4.15
36111,2015,Ulster County,New York,180143,11.8,67.36329632,29.54788339,945,55855,209133,32,85.13,6.19,0.18,2.11,0.18,2.68,2.75
36113,2015,Warren County,New York,0,7.5,69.63979417,26.56463034,832,50648,176288,27.6,0,0,0,0,0,0,0
36115,2015,Washington County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36117,2015,Wayne County,New York,91446,10,73.12179728,22.95532845,657,47834,114037,24.9,93.27,3.4,0.21,0.61,0.35,0.85,1.2
36119,2015,Westchester County,New York,976396,9.1,59.94634553,38.6520806,1360,82805,500123,31.2,66.42,14.58,0.29,6.04,0.03,9.67,2.21
36121,2015,Wyoming County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36123,2015,Yates County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
