GEOID,year,name,parent-location,population,poverty_rate,pct_owner_occupied,pct_renter_occupied,median_rent,median_income,median_property_value,pct_rent_burden,pct_white,pct_african_american,pct_american_indian,pct_asian,pct_native_hawaiian_and_other_pacific_islander,pct_other,pct_multiple_races
36001,0,Albany County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36003,0,Allegany County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005,0,Bronx County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36007,0,Broome County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36009,0,Cattaraugus County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36011,0,Cayuga County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36013,0,Chautauqua County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36015,0,Chemung County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36017,0,Chenango County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36019,0,Clinton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36021,0,Columbia County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36023,0,Cortland County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36025,0,Delaware County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36027,0,Dutchess County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36029,0,Erie County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36031,0,Essex County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36033,0,Franklin County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36035,0,Fulton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36037,0,Genesee County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36039,0,Greene County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36041,0,Hamilton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36043,0,Herkimer County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36045,0,Jefferson County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36047,0,Kings County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36049,0,Lewis County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36051,0,Livingston County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36053,0,Madison County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36055,0,Monroe County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36057,0,Montgomery County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36059,0,Nassau County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36061,0,New York County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36063,0,Niagara County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36065,0,Oneida County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36067,0,Onondaga County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36069,0,Ontario County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36071,0,Orange County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36073,0,Orleans County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36075,0,Oswego County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36077,0,Otsego County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36079,0,Putnam County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081,0,Queens County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36083,0,Rensselaer County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085,0,Richmond County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36087,0,Rockland County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36089,0,St. Lawrence County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36091,0,Saratoga County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36093,0,Schenectady County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36095,0,Schoharie County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36097,0,Schuyler County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36099,0,Seneca County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36101,0,Steuben County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36103,0,Suffolk County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36105,0,Sullivan County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36107,0,Tioga County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36109,0,Tompkins County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36111,0,Ulster County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36113,0,Warren County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36115,0,Washington County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36117,0,Wayne County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36119,0,Westchester County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36121,0,Wyoming County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36123,0,Yates County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
