county_name,totalScore,housing,neighborhood,transportation,environment,health,engagement,opportunity
Albany County,58,65,61,67,66,56,52,39
Allegany County,45,57,35,49,44,31,49,48
Bronx County,56,57,84,92,46,37,35,41
Broome County,49,56,45,52,41,51,42,53
Cattaraugus County,47,57,38,51,43,35,49,55
Cayuga County,48,55,42,54,51,31,54,49
Chautauqua County,49,59,40,50,57,35,52,50
Chemung County,46,56,46,52,41,36,43,48
Chenango County,49,57,34,42,62,41,49,61
Clinton County,47,57,42,50,47,33,45,53
Columbia County,50,50,37,43,63,48,70,39
Cortland County,48,57,44,49,61,35,44,49
Delaware County,45,56,33,43,49,42,51,39
Dutchess County,50,36,49,51,48,55,53,61
Erie County,59,57,58,66,58,54,64,57
Essex County,53,54,40,45,53,65,65,50
Franklin County,45,57,38,47,46,37,39,48
Fulton County,45,55,42,50,49,39,40,40
Genesee County,51,56,43,43,56,42,56,58
Greene County,42,48,36,40,41,32,55,40
Hamilton County,51,55,24,52,60,59,69,35
Herkimer County,50,58,43,57,50,35,45,61
Jefferson County,48,54,38,61,62,36,37,48
Kings County,58,49,79,91,62,44,43,36
Lewis County,44,55,34,42,46,33,52,47
Livingston County,48,44,46,45,46,49,36,72
Madison County,50,53,41,43,50,51,49,62
Monroe County,53,43,55,52,71,57,35,55
Montgomery County,48,57,40,51,62,37,43,45
Nassau County,57,27,70,53,63,65,58,62
New York County,58,47,81,91,53,50,45,38
Niagara County,57,56,50,60,70,42,57,63
Oneida County,52,57,45,66,65,37,39,53
Onondaga County,54,55,51,54,51,52,57,55
Ontario County,48,43,44,44,45,52,41,64
Orange County,50,36,50,56,51,50,46,60
Orleans County,46,44,39,49,54,35,30,68
Oswego County,46,55,39,46,47,33,41,62
Otsego County,48,56,39,47,48,46,49,49
Putnam County,53,20,50,44,69,62,57,72
Queens County,57,40,77,86,47,54,44,49
Rensselaer County,50,54,47,52,35,47,50,66
Richmond County,52,36,64,72,32,50,54,55
Rockland County,51,30,61,50,38,57,66,55
St. Lawrence County,43,56,38,51,46,34,40,38
Saratoga County,54,49,48,45,52,57,51,75
Schenectady County,53,53,52,56,53,48,51,61
Schoharie County,47,54,35,43,44,43,49,65
Schuyler County,48,55,39,43,63,29,63,46
Seneca County,45,54,38,42,31,44,51,52
Steuben County,49,57,41,49,57,40,50,52
Suffolk County,50,29,56,44,54,57,47,65
Sullivan County,45,52,32,43,58,42,48,38
Tioga County,51,54,42,48,56,39,58,58
Tompkins County,53,55,44,52,63,68,45,45
Ulster County,46,47,42,46,48,47,55,38
Warren County,49,52,44,48,34,58,58,51
Washington County,49,52,41,46,42,49,52,59
Wayne County,57,58,45,51,56,51,70,66
Westchester County,53,32,69,55,42,67,63,42
Wyoming County,48,56,42,46,41,35,52,62
Yates County,48,45,36,44,41,50,58,61
