zipcode,GEOID,city,state,latitude,longitude,geopoint,dummy_column
00501,3600501,Holtsville,NY,40.922326,-72.637078,40.922326,0
00544,3600544,Holtsville,NY,40.922326,-72.637078,40.922326,0
06390,3606390,Fishers Island,NY,41.261936,-72.00708,41.261936,0
10001,3610001,New York,NY,40.750742,-73.99653,40.750742,0
10002,3610002,New York,NY,40.71704,-73.987,40.71704,0
10003,3610003,New York,NY,40.732509,-73.98935,40.732509,0
10005,3610005,New York,NY,40.706019,-74.00858,40.706019,0
10006,3610006,New York,NY,40.707904,-74.01342,40.707904,0
10007,3610007,New York,NY,40.714754,-74.00721,40.714754,0
10008,3610008,New York,NY,40.780751,-73.977182,40.780751,0
10009,3610009,New York,NY,40.727093,-73.97864,40.727093,0
10010,3610010,New York,NY,40.739022,-73.98205,40.739022,0
10011,3610011,New York,NY,40.741012,-74.00012,40.741012,0
10012,3610012,New York,NY,40.72596,-73.99834,40.72596,0
10013,3610013,New York,NY,40.720666,-74.00526,40.720666,0
10014,3610014,New York,NY,40.734718,-74.00532,40.734718,0
10015,3610015,New York,NY,40.780751,-73.977182,40.780751,0
10016,3610016,New York,NY,40.74618,-73.97759,40.74618,0
10017,3610017,New York,NY,40.752159,-73.97231,40.752159,0
10018,3610018,New York,NY,40.755101,-73.99337,40.755101,0
10019,3610019,New York,NY,40.765714,-73.9856,40.765714,0
10020,3610020,New York,NY,40.758667,-73.98024,40.758667,0
10021,3610021,New York,NY,40.76842,-73.96045,40.76842,0
10022,3610022,New York,NY,40.759015,-73.96732,40.759015,0
10023,3610023,New York,NY,40.776099,-73.98285,40.776099,0
10024,3610024,New York,NY,40.786387,-73.97709,40.786387,0
10025,3610025,New York,NY,40.798502,-73.96811,40.798502,0
10026,3610026,New York,NY,40.802853,-73.95471,40.802853,0
10027,3610027,New York,NY,40.812665,-73.95499,40.812665,0
10028,3610028,New York,NY,40.776777,-73.9541,40.776777,0
10029,3610029,New York,NY,40.791586,-73.94575,40.791586,0
10030,3610030,New York,NY,40.818151,-73.94351,40.818151,0
10031,3610031,New York,NY,40.826201,-73.94879,40.826201,0
10032,3610032,New York,NY,40.840686,-73.94154,40.840686,0
10033,3610033,New York,NY,40.848764,-73.93496,40.848764,0
10034,3610034,New York,NY,40.867653,-73.92,40.867653,0
10035,3610035,New York,NY,40.802395,-73.93359,40.802395,0
10036,3610036,New York,NY,40.759511,-73.99019,40.759511,0
10037,3610037,New York,NY,40.813385,-73.93616,40.813385,0
10038,3610038,New York,NY,40.709677,-74.00365,40.709677,0
10039,3610039,New York,NY,40.826181,-73.9371,40.826181,0
10040,3610040,New York,NY,40.858704,-73.92853,40.858704,0
10041,3610041,New York,NY,40.703042,-74.01009,40.703042,0
10043,3610043,New York,NY,40.780751,-73.977182,40.780751,0
10044,3610044,New York,NY,40.762174,-73.94917,40.762174,0
10045,3610045,New York,NY,40.70859,-74.008687,40.70859,0
10046,3610046,New York,NY,40.780751,-73.977182,40.780751,0
10047,3610047,New York,NY,40.780751,-73.977182,40.780751,0
10048,3610048,New York,NY,40.712086,-74.01227,40.712086,0
10055,3610055,New York,NY,40.780751,-73.977182,40.780751,0
10060,3610060,New York,NY,40.780751,-73.977182,40.780751,0
10069,3610069,New York,NY,40.775477,-73.9905,40.775477,0
10072,3610072,New York,NY,40.780751,-73.977182,40.780751,0
10079,3610079,New York,NY,40.780751,-73.977182,40.780751,0
10080,3610080,New York,NY,40.780751,-73.977182,40.780751,0
10081,3610081,New York,NY,40.780751,-73.977182,40.780751,0
10082,3610082,New York,NY,40.780751,-73.977182,40.780751,0
10087,3610087,New York,NY,40.780751,-73.977182,40.780751,0
10090,3610090,New York,NY,40.780751,-73.977182,40.780751,0
10094,3610094,New York,NY,40.780751,-73.977182,40.780751,0
10095,3610095,New York,NY,40.748181,-73.988421,40.748181,0
10096,3610096,New York,NY,40.780751,-73.977182,40.780751,0
10098,3610098,New York,NY,40.748181,-73.988421,40.748181,0
10099,3610099,New York,NY,40.780751,-73.977182,40.780751,0
10101,3610101,New York,NY,40.780751,-73.977182,40.780751,0
10102,3610102,New York,NY,40.780751,-73.977182,40.780751,0
10103,3610103,New York,NY,40.760915,-73.97785,40.760915,0
10104,3610104,New York,NY,40.760943,-73.979908,40.760943,0
10105,3610105,New York,NY,40.762808,-73.978534,40.762808,0
10106,3610106,New York,NY,40.765243,-73.980438,40.765243,0
10107,3610107,New York,NY,40.766429,-73.982728,40.766429,0
10108,3610108,New York,NY,40.780751,-73.977182,40.780751,0
10109,3610109,New York,NY,40.780751,-73.977182,40.780751,0
10110,3610110,New York,NY,40.753987,-73.980811,40.753987,0
10111,3610111,New York,NY,40.759235,-73.97775,40.759235,0
10112,3610112,New York,NY,40.759291,-73.97979,40.759291,0
10113,3610113,New York,NY,40.780751,-73.977182,40.780751,0
10114,3610114,New York,NY,40.780751,-73.977182,40.780751,0
10115,3610115,New York,NY,40.810906,-73.96375,40.810906,0
10116,3610116,New York,NY,40.780751,-73.977182,40.780751,0
10117,3610117,New York,NY,40.780751,-73.977182,40.780751,0
10118,3610118,New York,NY,40.748998,-73.986467,40.748998,0
10119,3610119,New York,NY,40.750824,-73.99289,40.750824,0
10120,3610120,New York,NY,40.750629,-73.989426,40.750629,0
10121,3610121,New York,NY,40.74964,-73.991889,40.74964,0
10122,3610122,New York,NY,40.751757,-73.992171,40.751757,0
10123,3610123,New York,NY,40.751489,-73.990537,40.751489,0
10124,3610124,New York,NY,40.780751,-73.977182,40.780751,0
10125,3610125,New York,NY,40.780751,-73.977182,40.780751,0
10126,3610126,New York,NY,40.780751,-73.977182,40.780751,0
10128,3610128,New York,NY,40.781894,-73.95039,40.781894,0
10129,3610129,New York,NY,40.780751,-73.977182,40.780751,0
10130,3610130,New York,NY,40.780751,-73.977182,40.780751,0
10131,3610131,New York,NY,40.780751,-73.977182,40.780751,0
10132,3610132,New York,NY,40.780751,-73.977182,40.780751,0
10133,3610133,New York,NY,40.780751,-73.977182,40.780751,0
10138,3610138,New York,NY,40.780751,-73.977182,40.780751,0
10149,3610149,New York,NY,40.780751,-73.977182,40.780751,0
10150,3610150,New York,NY,40.780751,-73.977182,40.780751,0
10151,3610151,New York,NY,40.763419,-73.973971,40.763419,0
10152,3610152,New York,NY,40.758611,-73.97223,40.758611,0
10153,3610153,New York,NY,40.763742,-73.97268,40.763742,0
10154,3610154,New York,NY,40.757986,-73.97267,40.757986,0
10155,3610155,New York,NY,40.761104,-73.968036,40.761104,0
10156,3610156,New York,NY,40.780751,-73.977182,40.780751,0
10157,3610157,New York,NY,40.780751,-73.977182,40.780751,0
10158,3610158,New York,NY,40.749435,-73.9758,40.749435,0
10159,3610159,New York,NY,40.780751,-73.977182,40.780751,0
10160,3610160,New York,NY,40.780751,-73.977182,40.780751,0
10161,3610161,New York,NY,40.780751,-73.977182,40.780751,0
10162,3610162,New York,NY,40.769334,-73.94893,40.769334,0
10163,3610163,New York,NY,40.780751,-73.977182,40.780751,0
10164,3610164,New York,NY,40.780751,-73.977182,40.780751,0
10165,3610165,New York,NY,40.752354,-73.9789,40.752354,0
10166,3610166,New York,NY,40.754591,-73.976238,40.754591,0
10167,3610167,New York,NY,40.754862,-73.97495,40.754862,0
10168,3610168,New York,NY,40.751933,-73.976794,40.751933,0
10169,3610169,New York,NY,40.754463,-73.97606,40.754463,0
10170,3610170,New York,NY,40.752859,-73.97608,40.752859,0
10171,3610171,New York,NY,40.756099,-73.97401,40.756099,0
10172,3610172,New York,NY,40.755494,-73.97447,40.755494,0
10173,3610173,New York,NY,40.754302,-73.97955,40.754302,0
10174,3610174,New York,NY,40.751656,-73.97516,40.751656,0
10175,3610175,New York,NY,40.754305,-73.979782,40.754305,0
10176,3610176,New York,NY,40.75557,-73.978877,40.75557,0
10177,3610177,New York,NY,40.755345,-73.97609,40.755345,0
10178,3610178,New York,NY,40.751378,-73.978507,40.751378,0
10179,3610179,New York,NY,40.780751,-73.977182,40.780751,0
10184,3610184,New York,NY,40.780751,-73.977182,40.780751,0
10185,3610185,New York,NY,40.780751,-73.977182,40.780751,0
10196,3610196,New York,NY,40.780751,-73.977182,40.780751,0
10197,3610197,New York,NY,40.780751,-73.977182,40.780751,0
10199,3610199,New York,NY,40.750308,-74.00058,40.750308,0
10203,3610203,New York,NY,40.780751,-73.977182,40.780751,0
10211,3610211,New York,NY,40.780751,-73.977182,40.780751,0
10212,3610212,New York,NY,40.780751,-73.977182,40.780751,0
10213,3610213,New York,NY,40.780751,-73.977182,40.780751,0
10242,3610242,New York,NY,40.780751,-73.977182,40.780751,0
10249,3610249,New York,NY,40.780751,-73.977182,40.780751,0
10250,3610250,New York,NY,40.709387,-74.016529,40.709387,0
10256,3610256,New York,NY,40.780751,-73.977182,40.780751,0
10257,3610257,New York,NY,40.780751,-73.977182,40.780751,0
10258,3610258,New York,NY,40.780751,-73.977182,40.780751,0
10259,3610259,New York,NY,40.780751,-73.977182,40.780751,0
10260,3610260,New York,NY,40.780751,-73.977182,40.780751,0
10261,3610261,New York,NY,40.780751,-73.977182,40.780751,0
10265,3610265,New York,NY,40.780751,-73.977182,40.780751,0
10268,3610268,New York,NY,40.780751,-73.977182,40.780751,0
10269,3610269,New York,NY,40.780751,-73.977182,40.780751,0
10270,3610270,New York,NY,40.706925,-74.008154,40.706925,0
10271,3610271,New York,NY,40.708669,-74.01043,40.708669,0
10272,3610272,New York,NY,40.780751,-73.977182,40.780751,0
10273,3610273,New York,NY,40.780751,-73.977182,40.780751,0
10274,3610274,New York,NY,40.780751,-73.977182,40.780751,0
10275,3610275,New York,NY,40.780751,-73.977182,40.780751,0
10276,3610276,New York,NY,40.780751,-73.977182,40.780751,0
10277,3610277,New York,NY,40.780751,-73.977182,40.780751,0
10278,3610278,New York,NY,40.715721,-74.00395,40.715721,0
10279,3610279,New York,NY,40.713062,-74.00857,40.713062,0
10280,3610280,New York,NY,40.707467,-74.0178,40.707467,0
10281,3610281,New York,NY,40.714643,-74.014958,40.714643,0
10282,3610282,New York,NY,40.717179,-74.01433,40.717179,0
10285,3610285,New York,NY,40.71533,-74.016306,40.71533,0
10286,3610286,New York,NY,40.714231,-74.011895,40.714231,0
10292,3610292,New York,NY,40.780751,-73.977182,40.780751,0
10301,3610301,Staten Island,NY,40.631775,-74.09432,40.631775,0
10302,3610302,Staten Island,NY,40.631127,-74.13715,40.631127,0
10303,3610303,Staten Island,NY,40.629448,-74.16239,40.629448,0
10304,3610304,Staten Island,NY,40.60787,-74.08991,40.60787,0
10305,3610305,Staten Island,NY,40.599021,-74.07503,40.599021,0
10306,3610306,Staten Island,NY,40.569394,-74.11785,40.569394,0
10307,3610307,Staten Island,NY,40.508274,-74.24387,40.508274,0
10308,3610308,Staten Island,NY,40.551353,-74.15098,40.551353,0
10309,3610309,Staten Island,NY,40.529749,-74.21304,40.529749,0
10310,3610310,Staten Island,NY,40.63212,-74.11551,40.63212,0
10311,3610311,Staten Island,NY,40.605245,-74.179485,40.605245,0
10312,3610312,Staten Island,NY,40.543117,-74.17628,40.543117,0
10313,3610313,Staten Island,NY,40.564393,-74.146836,40.564393,0
10314,3610314,Staten Island,NY,40.606337,-74.14513,40.606337,0
10422,3610422,New York,NY,40.828279,-73.869454,40.828279,0
10451,3610451,Bronx,NY,40.819729,-73.9223,40.819729,0
10452,3610452,Bronx,NY,40.838745,-73.92234,40.838745,0
10453,3610453,Bronx,NY,40.853017,-73.91214,40.853017,0
10454,3610454,Bronx,NY,40.805968,-73.91628,40.805968,0
10455,3610455,Bronx,NY,40.815559,-73.90771,40.815559,0
10456,3610456,Bronx,NY,40.829676,-73.90856,40.829676,0
10457,3610457,Bronx,NY,40.846745,-73.89861,40.846745,0
10458,3610458,Bronx,NY,40.864166,-73.88881,40.864166,0
10459,3610459,Bronx,NY,40.825432,-73.89327,40.825432,0
10460,3610460,Bronx,NY,40.84095,-73.88036,40.84095,0
10461,3610461,Bronx,NY,40.842917,-73.83819,40.842917,0
10462,3610462,Bronx,NY,40.842173,-73.85862,40.842173,0
10463,3610463,Bronx,NY,40.881086,-73.90749,40.881086,0
10464,3610464,Bronx,NY,40.857017,-73.78903,40.857017,0
10465,3610465,Bronx,NY,40.825727,-73.81752,40.825727,0
10466,3610466,Bronx,NY,40.89095,-73.84702,40.89095,0
10467,3610467,Bronx,NY,40.872265,-73.86937,40.872265,0
10468,3610468,Bronx,NY,40.867107,-73.89916,40.867107,0
10469,3610469,Bronx,NY,40.868643,-73.84735,40.868643,0
10470,3610470,Bronx,NY,40.900629,-73.86072,40.900629,0
10471,3610471,Bronx,NY,40.900819,-73.90347,40.900819,0
10472,3610472,Bronx,NY,40.830409,-73.86845,40.830409,0
10473,3610473,Bronx,NY,40.818514,-73.85893,40.818514,0
10474,3610474,Bronx,NY,40.81321,-73.88755,40.81321,0
10475,3610475,Bronx,NY,40.878522,-73.82541,40.878522,0
10499,3610499,Bronx,NY,40.851549,-73.840908,40.851549,0
10501,3610501,Amawalk,NY,41.289939,-73.76493,41.289939,0
10502,3610502,Ardsley,NY,41.011324,-73.84152,41.011324,0
10503,3610503,Ardsley On Hudson,NY,41.024855,-73.87513,41.024855,0
10504,3610504,Armonk,NY,41.129908,-73.70352,41.129908,0
10505,3610505,Baldwin Place,NY,41.33431,-73.749244,41.33431,0
10506,3610506,Bedford,NY,41.195778,-73.62777,41.195778,0
10507,3610507,Bedford Hills,NY,41.236931,-73.69018,41.236931,0
10509,3610509,Brewster,NY,41.41362,-73.59556,41.41362,0
10510,3610510,Briarcliff Manor,NY,41.146297,-73.83311,41.146297,0
10511,3610511,Buchanan,NY,41.260283,-73.94033,41.260283,0
10512,3610512,Carmel,NY,41.444833,-73.6845,41.444833,0
10514,3610514,Chappaqua,NY,41.167455,-73.77597,41.167455,0
10516,3610516,Cold Spring,NY,41.440695,-73.9314,41.440695,0
10517,3610517,Crompond,NY,41.300561,-73.861217,41.300561,0
10518,3610518,Cross River,NY,41.269072,-73.60493,41.269072,0
10519,3610519,Croton Falls,NY,41.34598,-73.66199,41.34598,0
10520,3610520,Croton On Hudson,NY,41.215541,-73.88543,41.215541,0
10521,3610521,Croton On Hudson,NY,41.234256,-73.926165,41.234256,0
10522,3610522,Dobbs Ferry,NY,41.012729,-73.86602,41.012729,0
10523,3610523,Elmsford,NY,41.057089,-73.81658,41.057089,0
10524,3610524,Garrison,NY,41.363063,-73.92154,41.363063,0
10526,3610526,Goldens Bridge,NY,41.294561,-73.66701,41.294561,0
10527,3610527,Granite Springs,NY,41.319026,-73.7576,41.319026,0
10528,3610528,Harrison,NY,40.972667,-73.71886,40.972667,0
10530,3610530,Hartsdale,NY,41.025114,-73.80635,41.025114,0
10532,3610532,Hawthorne,NY,41.103664,-73.7958,41.103664,0
10533,3610533,Irvington,NY,41.039005,-73.8635,41.039005,0
10535,3610535,Jefferson Valley,NY,41.331173,-73.80208,41.331173,0
10536,3610536,Katonah,NY,41.265478,-73.68512,41.265478,0
10537,3610537,Lake Peekskill,NY,41.337335,-73.88689,41.337335,0
10538,3610538,Larchmont,NY,40.933089,-73.75615,40.933089,0
10540,3610540,Lincolndale,NY,41.333398,-73.724257,41.333398,0
10541,3610541,Mahopac,NY,41.372419,-73.75367,41.372419,0
10542,3610542,Mahopac Falls,NY,41.372581,-73.760132,41.372581,0
10543,3610543,Mamaroneck,NY,40.952892,-73.7346,40.952892,0
10545,3610545,Maryknoll,NY,41.119008,-73.732996,41.119008,0
10546,3610546,Millwood,NY,41.199502,-73.79269,41.199502,0
10547,3610547,Mohegan Lake,NY,41.314676,-73.85118,41.314676,0
10548,3610548,Montrose,NY,41.248359,-73.94147,41.248359,0
