zipcode,total_score,housing,neighborhood,transportation,environment,health,engagement,opportunity
501,45,40,54,37,32,47,32,76
544,48,16,57,38,64,47,42,69
6390,48,29,21,66,63,62,59,33
10001,64,52,90,98,58,78,59,13
10002,58,47,81,91,53,50,46,39
10002,70,80,10,10,58,64,56,33
10003,64,49,94,10,58,78,62,6
10005,57,27,85,10,37,81,59,8
10006,55,23,81,10,30,81,61,6
10007,61,19,93,10,52,80,63,18
10008,61,19,93,10,52,80,63,18
10009,65,70,90,10,47,57,61,27
10010,62,28,93,10,58,80,61,12
10011,62,34,92,10,58,69,62,18
10012,63,32,89,10,58,79,62,20
10013,61,18,91,10,50,80,62,24
10014,65,44,94,10,58,78,63,16
10015,61,19,93,10,52,80,63,18
10016,64,41,90,10,58,81,61,16
10017,63,42,95,10,46,82,61,13
10018,56,39,89,91,30,77,57,12
10019,61,22,87,10,58,76,62,21
10020,62,32,89,10,58,79,62,16
10021,64,37,88,10,58,80,61,26
10022,63,31,90,10,58,78,61,20
10023,60,19,89,10,58,79,62,11
10024,65,60,89,98,58,76,55,20
10025,69,66,95,10,58,76,62,25
10026,63,66,89,10,58,45,62,18
10027,62,77,88,10,58,45,43,23
10028,64,37,90,10,58,80,61,19
10029,68,84,95,10,58,52,54,32
10030,62,63,89,10,58,43,62,17
10031,63,78,91,10,58,49,43,20
10032,59,50,90,10,58,52,43,21
10033,59,50,96,10,45,57,44,23
10034,54,50,88,99,29,50,44,17
10035,61,59,89,10,58,40,61,18
10036,67,89,94,10,58,54,62,10
10037,52,41,86,83,58,55,43,0<
10038,60,22,93,10,58,77,61,11
10039,62,65,90,10,58,45,55,18
10040,60,48,91,10,58,60,44,18
10041,55,19,82,10,32,78,58,13
10043,57,27,85,10,37,81,59,8<
10044,53,20,82,73,58,67,56,15
10045,61,23,93,10,58,81,63,9<
10046,61,19,93,10,52,80,63,18
10047,58,25,90,10,34,81,63,10
10048,61,19,93,10,52,80,63,18
10055,59,19,86,10,58,67,62,19
10060,52,41,72,54,58,74,54,11
10069,53,20,87,80,26,82,54,22
10072,64,52,90,98,58,78,59,13
10079,64,52,90,98,58,78,59,13
10080,59,33,88,87,37,80,64,23
10081,57,27,85,10,37,81,59,8<
10082,61,29,88,10,58,79,62,13
10087,61,19,93,10,52,80,63,18
10090,52,41,72,54,58,74,54,11
10094,38,41,69,56,26,29,29,18
10095,52,41,72,54,58,74,54,11
10096,62,32,93,10,58,78,63,10
10098,64,52,90,98,58,78,59,13
10099,66,60,92,10,58,72,62,17
10101,67,63,88,10,58,75,62,21
10102,52,41,72,54,58,74,54,11
10103,62,32,89,10,58,79,62,16
10104,63,49,80,10,58,77,62,17
10105,61,22,83,10,58,80,62,21
10106,61,26,83,10,58,80,62,16
10107,63,27,90,10,58,80,62,22
10108,62,42,88,10,58,72,62,14
10109,52,41,72,54,58,74,54,11
10110,59,35,89,99,58,72,62,0<
10111,62,32,89,10,58,79,62,16
10112,62,32,89,10,58,79,62,16
10113,61,22,10,10,58,77,62,10
10114,52,41,72,54,58,74,54,11
10115,54,35,84,78,34,80,51,17
10116,64,52,90,98,58,78,59,13
10117,52,41,72,54,58,74,54,11
10118,62,36,92,10,58,80,62,6<
10119,62,32,93,10,58,76,62,11
