,Unnamed: 0,Client: Create Date/Time,Client's_City,zipcode,county,Client's Location,PresentingNeeds_TaxonomyCode,category_code,category_sub,latitude,longitude
0,0,01/26/2015 12:58:08.835962 MST,ALBANY,12204,ALBANY,Albany,DT-8800,D,DT,42.683727,-73.73329
1,3,02/20/2015 09:41:45.454791 MST,ALBANY,12204,ALBANY,Albany,DT-8805,D,DT,42.683727,-73.73329
2,26,01/31/2015 10:59:09.490825 MST,ALBANY,12204,ALBANY,Not Applicable,DT-8883,D,DT,42.683727,-73.73329
3,27,01/31/2015 10:59:09.490825 MST,ALBANY,12204,ALBANY,Not Applicable,DT-8884,D,DT,42.683727,-73.73329
4,37,02/13/2015 07:24:37.641934 MST,ALBANY,12204,ALBANY,Not Applicable,DT-8927,D,DT,42.683727,-73.73329
5,90,02/10/2015 10:24:27.075108 MST,ALBANY,12204,ALBANY,Albany,DT-9017,D,DT,42.683727,-73.73329
6,91,02/10/2015 11:15:38.145799 MST,ALBANY,12204,ALBANY,Albany,DT-9018,D,DT,42.683727,-73.73329
7,92,02/10/2015 11:21:23.164655 MST,ALBANY,12204,ALBANY,Albany,DT-9019,D,DT,42.683727,-73.73329
8,99,02/11/2015 11:08:25.457738 MST,ALBANY,12204,ALBANY,Albany,DT-9026,D,DT,42.683727,-73.73329
9,107,02/13/2015 09:46:14.617159 MST,ALBANY,12204,ALBANY,Albany,DT-9034,D,DT,42.683727,-73.73329
10,160,03/11/2015 07:16:16.008043 MDT,ALBANY,12204,ALBANY,Albany,DT-9089,D,DT,42.683727,-73.73329
11,188,03/21/2015 08:10:43.297101 MDT,ALBANY,12204,ALBANY,Albany,DT-9119,D,DT,42.683727,-73.73329
12,214,03/24/2015 15:52:47.543928 MDT,ALBANY,12204,ALBANY,Albany,DT-9145,D,DT,42.683727,-73.73329
13,248,04/07/2015 07:37:28.852353 MDT,ALBANY,12204,ALBANY,Albany,DT-9188,D,DT,42.683727,-73.73329
14,366,01/26/2015 13:52:37.414414 MST,ALBANY,12204,ALBANY,Albany,DT-8800,,,42.683727,-73.73329
15,385,02/10/2015 13:27:37.371424 MST,ALBANY,12204,ALBANY,Albany,DT-8800,D,DT,42.683727,-73.73329
16,676,08/10/2015 09:36:47.188805 MDT,ALBANY,12204,ALBANY,Albany,,,,42.683727,-73.73329
17,690,08/27/2015 09:30:17.271085 MDT,ALBANY,12204,ALBANY,Albany,,,,42.683727,-73.73329
18,702,09/10/2015 08:51:28.835038 MDT,ALBANY,12204,ALBANY,Albany,,,,42.683727,-73.73329
19,724,09/21/2015 15:09:13.936548 MDT,ALBANY,12204,ALBANY,Albany,ND-6500.8000,F,FT,42.683727,-73.73329
20,841,12/07/2015 07:31:41.51461 MST,ALBANY,12204,ALBANY,Albany,,B,BH,42.683727,-73.73329
21,844,12/07/2015 11:52:54.869593 MST,ALBANY,12204,ALBANY,Albany,PH-2950.3200,,,42.683727,-73.73329
22,851,12/10/2015 08:45:35.373311 MST,ALBANY,12204,ALBANY,Albany,,L,LL,42.683727,-73.73329
23,852,12/11/2015 07:53:32.297105 MST,ALBANY,12204,ALBANY,Albany,LL-3000.9000,L,LH,42.683727,-73.73329
24,863,12/17/2015 14:25:38.956638 MST,ALBANY,12204,ALBANY,Albany,BT-4500.6500-500,N,ND,42.683727,-73.73329
25,865,12/21/2015 07:21:14.098973 MST,ALBANY,12204,ALBANY,Albany,,,,42.683727,-73.73329
26,889,01/16/2015 09:22:36.461218 MST,ALBANY,12204,ALBANY,Albany,DT-9586,D,DT,42.683727,-73.73329
27,890,01/15/2015 14:45:52.010253 MST,ALBANY,12204,ALBANY,Albany,DT-9587,D,DT,42.683727,-73.73329
28,901,01/16/2015 09:50:10.228681 MST,ALBANY,12204,ALBANY,Albany,DT-9599,D,DT,42.683727,-73.73329
29,937,02/03/2015 14:22:22.960399 MST,ALBANY,12204,ALBANY,Albany,DT-9635,D,DT,42.683727,-73.73329
30,982,02/17/2015 08:02:36.053424 MST,ALBANY,12204,ALBANY,Albany,DT-9682,D,DT,42.683727,-73.73329
31,989,02/18/2015 10:19:55.376466 MST,ALBANY,12204,ALBANY,Albany,DT-9689,D,DT,42.683727,-73.73329
32,1064,03/10/2015 10:25:27.260173 MDT,ALBANY,12204,ALBANY,Albany,DT-9765,D,DT,42.683727,-73.73329
33,1070,03/10/2015 15:22:40.679971 MDT,ALBANY,12204,ALBANY,Albany,DT-9771,D,DT,42.683727,-73.73329
34,1087,01/28/2015 12:05:04.067426 MST,ALBANY,12204,ALBANY,Albany,DT-10083,D,DT,42.683727,-73.73329
35,1158,03/27/2015 09:56:50.718276 MDT,MENANDS,12204,ALBANY,Albany,DT-10161,D,DT,42.683727,-73.73329
36,1260,02/23/2015 13:41:08.570999 MST,ALBANY,12204,ALBANY,Albany,DT-12859,D,DT,42.683727,-73.73329
37,1280,03/02/2015 10:34:02.098534 MST,ALBANY,12204,ALBANY,Albany,DT-12905,D,DT,42.683727,-73.73329
38,1315,03/20/2015 10:56:12.012324 MDT,ALBANY,12204,ALBANY,Albany,DT-12998,D,DT,42.683727,-73.73329
39,1322,03/24/2015 12:20:34.436499 MDT,ALBANY,12204,ALBANY,Albany,DT-13015,D,DT,42.683727,-73.73329
40,1326,03/27/2015 11:34:00.674348 MDT,ALBANY,12204,ALBANY,Albany,DT-13024,D,DT,42.683727,-73.73329
41,1479,01/08/2015 16:28:15.501048 MST,ALBANY,12204,ALBANY,Albany,DT-8800,D,DT,42.683727,-73.73329
42,1522,01/19/2015 13:55:57.284274 MST,ALBANY,12204,ALBANY,Albany,DT-8800,D,DT,42.683727,-73.73329
