,Unnamed: 0,Client: Create Date/Time,Client's City,zipcode,county,Client's Location,Presenting Needs: Taxonomy Code,category_code,category_sub,latitude,longitude
0,0,12/27/2017 09:02:27.151999 MST,ALTAMONT,12009,ALBANY,Albany,BV-8900.9300-300,B,BV,42.698692,-74.03148
1,17,12/18/2017 13:06:59.455172 MST,ALTAMONT,12009,ALBANY,Albany,BD-1800.2000,B,BD,42.698692,-74.03148
2,18,12/18/2017 13:06:59.455172 MST,ALTAMONT,12009,ALBANY,Albany,BD-1800.2000,B,BD,42.698692,-74.03148
3,19,12/18/2017 13:06:59.455172 MST,ALTAMONT,12009,ALBANY,Albany,TJ-3000.8000,T,TJ,42.698692,-74.03148
4,20,12/18/2017 13:06:59.455172 MST,ALTAMONT,12009,ALBANY,Albany,TJ-3000.8000,T,TJ,42.698692,-74.03148
5,27,12/15/2017 06:12:47.366837 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
6,118,09/18/2017 08:52:52.73735 MDT,ALTAMONT,12009,ALBANY,Albany,FT-1000.6500,F,FT,42.698692,-74.03148
7,149,08/29/2017 14:06:51.285077 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
8,368,05/30/2017 09:40:20.951503 MDT,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
9,523,02/04/2017 12:10:05.818021 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
10,535,02/01/2017 06:57:05.134696 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
11,623,01/23/2017 13:52:33.377979 MST,ALTAMONT,12009,ALBANY,Albany,DT-8800,D,DT,42.698692,-74.03148
12,676,01/11/2017 12:24:20.798143 MST,ALTAMONT,12009,ALBANY,Albany,,,,42.698692,-74.03148
13,700,05/26/2017 09:15:30.47131 MDT,ALTAMONT,12009,ALBANY,Not Applicable,,,,42.698692,-74.03148
14,834,01/31/2017 13:11:01.4496 MST,ALTAMONT,12009,ALBANY,Albany,DT-10696,D,DT,42.698692,-74.03148
15,857,01/12/2017 14:01:27.808023 MST,ALTAMONT,12009,ALBANY,Albany,DT-10719,D,DT,42.698692,-74.03148
16,875,01/30/2017 09:42:02.596093 MST,ALTAMONT,12009,ALBANY,Albany,DT-10737,D,DT,42.698692,-74.03148
17,906,01/12/2017 09:05:11.024564 MST,ALTAMONT,12009,ALBANY,Albany,DT-10768,D,DT,42.698692,-74.03148
18,919,01/13/2017 16:48:54.798286 MST,ALTAMONT,12009,ALBANY,Albany,DT-10781,D,DT,42.698692,-74.03148
19,925,01/18/2017 14:21:26.556294 MST,ALTAMONT,12009,ALBANY,Albany,DT-10787,D,DT,42.698692,-74.03148
20,927,01/18/2017 12:07:49.436375 MST,ALTAMONT,12009,ALBANY,Albany,DT-10789,D,DT,42.698692,-74.03148
21,939,01/17/2017 08:55:01.05638 MST,ALTAMONT,12009,ALBANY,Albany,DT-10801,D,DT,42.698692,-74.03148
22,941,01/17/2017 08:29:21.549909 MST,ALTAMONT,12009,ALBANY,Albany,DT-10803,D,DT,42.698692,-74.03148
23,944,01/11/2017 14:43:31.696574 MST,ALTAMONT,12009,ALBANY,Albany,DT-10806,D,DT,42.698692,-74.03148
24,967,04/13/2017 11:02:29.490303 MDT,ALTAMONT,12009,ALBANY,Albany,DT-11067,D,DT,42.698692,-74.03148
